title,score,developer,publisher,rom_name,size,running_total
Surge (2012),8.1,FuturLab,FuturLab,,,
WipEout 2048,8.1,Studio Liverpool,SCEA,"WipEout 2048 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,88.8 GiB
Atelier Escha & Logy: Alchemists of the Dusk Sky,8.0,Gust,Tecmo Koei Games,,,
Atelier Totori: The Adventurer of Arland,8.0,Gust,NIS America,,,
Digimon Story Cyber Sleuth: Hacker's Memory,8.0,Media.Vision,Bandai Namco Games,,,
Escape Plan: The Asylum,8.0,Fun Bits,SCEA,,,
Laser Disco Defenders,8.0,Out of Bounds,Excalibur Publishing,,,
Sly Cooper Collection,8.0,Sanzaru Games,SCEA,"God Of War Collection (Europe) (En,Fr,De,Es,It).vpk",3.1 GiB,91.9 GiB
The Unfinished Swan,8.0,Giant Sparrow,SCEA,,,
ZEN Pinball 2: South Park: Super-Sweet Pinball,8.0,Zen Studios,Zen Studios,,,
A Rose in the Twilight,8.0,Nippon Ichi Software,NIS America,,,
Atelier Ayesha: The Alchemist of Dusk,8.0,Gust,Koei Tecmo Games,,,
Dead or Alive 5,8.0,Team Ninja,Tecmo Koei Games,"Dead or Alive 5 Plus (Europe) (En,Ja,Fr,De,Es,It).vpk",2.6 GiB,94.5 GiB
Grand Kingdom,8.0,Spike Chunsoft,NIS America,Grand Kingdom (USA).vpk,1.4 GiB,95.9 GiB
Atelier Rorona Plus: The Alchemist of Arland,8.0,Gust,Tecmo Koei Games,,,
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,8.0,Spike Chunsoft,Aksys Games,Shiren the Wanderer - The Tower of Fortune and the Dice of Fate (USA).vpk,398.0 MiB,96.3 GiB
Ar nosurge: Ode to an Unborn Star,7.9,Gust,Koei Tecmo Games,,,
Dragon's Crown,7.9,Vanillaware,Atlus,Dragon's Crown (Europe).vpk,1.0 GiB,97.3 GiB
PixelJunk Shooter Ultimate,7.9,Double Eleven,Double Eleven,,,
Soul Sacrifice,7.9,SCE Japan Studio,SCEA,Soul Sacrifice (USA).vpk,1.7 GiB,99.0 GiB
Stick it to the Man!,7.9,Zoink!,Ripstone,,,
Tokyo Jungle Mobile,7.9,SCEI,SCEA,,,
Air Race Speed,7.9,QubicGames,QubicGames,,,
BlazBlue: Chrono Phantasma,7.9,Arc System Works,Aksys Games,"BlazBlue - Chrono Phantasma (USA) (En,Ja).vpk",3.2 GiB,102.2 GiB
BlazBlue: Continuum Shift Extend,7.9,Arc System Works,Aksys Games,BlazBlue - Continuum Shift - EXTEND (USA).vpk,3.2 GiB,105.4 GiB
Dengeki Bunko: Fighting Climax,7.9,French-Bread,Sega,Dengeki Bunko - Fighting Climax (USA).vpk,847.7 MiB,106.2 GiB
DJMax Technika Tune,7.9,Pentavision Entertainment,Pentavision Entertainment,DJMax Technika Tune (USA).vpk,3.1 GiB,109.3 GiB
Dungeon Travelers 2: The Royal Library & the Monster Seal,7.9,Aqua Plus,Atlus,Dungeon Travelers 2 - The Royal Library & The Monster Seal (Europe).vpk,1.8 GiB,111.1 GiB
God Eater 2: Rage Burst,7.9,Shift,Bandai Namco Games,"God Eater 2 - Rage Burst (Europe) (En,Fr,De,Es,It,Ru).vpk",2.9 GiB,114.0 GiB
God Eater Resurrection,7.9,Shift,Bandai Namco Games,"God Eater 2 - Rage Burst (Europe) (En,Fr,De,Es,It,Ru).vpk",2.9 GiB,117.0 GiB
Grim Fandango Remastered,7.9,Double Fine Productions,Double Fine Productions,,,
Metal Gear Solid 3: Snake Eater HD Edition,7.9,Konami,Konami,Metal Gear Solid HD Collection (USA) [b].vpk,3.3 GiB,120.3 GiB
Minecraft,7.9,4J Studios,Microsoft Game Studios,,,
Oreshika: Tainted Bloodlines,7.9,Alfa System,SCEA,,,
Stardew Valley,7.9,ConcernedApe,Chucklefish,,,
Stealth Inc: A Clone in the Dark,7.9,Curve Studios,Curve Studios,,,
Switch Galaxy,7.9,Atomicom,Atomicom,,,
The Walking Dead: Season Two Episode 1 - All That Remains,7.9,Telltale Games,Telltale Games,"Walking Dead, The - Season Two - A Telltale Games Series (USA).vpk",1.8 GiB,122.1 GiB
Toukiden 2,7.9,Koei Tecmo Games,Koei Tecmo Games,Toukiden 2 (USA).vpk,2.4 GiB,124.5 GiB
TxK,7.9,Llamasoft,Llamasoft,,,
Ultimate Marvel vs. Capcom 3,7.9,Capcom,Capcom,Ultimate Marvel vs Capcom 3 (Europe).vpk,1.4 GiB,125.9 GiB
Quell Memento,7.9,Bulkypix,Bulkypix,,,
Sayonara UmiharaKawase +,7.9,Studio Saizensen,Agatsuma Entertainment,,,
Luftrausers,7.9,Vlambeer,Devolver Digital,,,
Fez,7.8,Polytron Corp.,Polytron Corp.,Fez (USA).vpk,212.9 MiB,126.1 GiB
Hot Shots Golf: World Invitational,7.8,Clap Hanz,SCEA,,,
Joe Danger,7.8,Hello Games,Hello Games,,,
OlliOlli,7.8,Tom Hegarty,roll7,,,
Plants vs. Zombies,7.8,PopCap,PopCap,,,
Sine Mora,7.8,Grasshopper Manufacture,Microsoft Game Studios,,,
Tales of Hearts R,7.8,7thChord,Bandai Namco Games,"Tales of Hearts R (USA) (En,Ja,Fr,De,Es,It).vpk",1.6 GiB,127.7 GiB
Freedom Wars,7.8,SCE Japan Studio,SCEA,Freedom Wars (USA).vpk,1.3 GiB,129.0 GiB
Virtua Tennis 4: World Tour Edition,7.8,Sega,Sega,"Virtua Tennis 4 - World Tour Edition (USA) (En,Fr,Es).vpk",1.0 GiB,130.0 GiB
Bad Apple Wars,7.8,Otomate,Aksys Games,Bad Apple Wars (USA).vpk,1.5 GiB,131.5 GiB
Demon Gaze,7.8,Experience Inc.,NIS America,"Demon Gaze (Europe) (En,Ja).vpk",512.4 MiB,132.0 GiB
Fate/Extella Link,7.8,Marvelous First Studio,XSEED Games,,,
flower,7.8,ThatGameCompany,SCEA,,,
Malicious Rebirth,7.8,Alvion,SCEA,"Muramasa Rebirth (USA) (En,Ja).vpk",455.4 MiB,132.5 GiB
OlliOlli2: Welcome to Olliwood,7.8,roll7,roll7,,,
Psychedelica of the Ashen Hawk,7.8,Otomate,Aksys Games,,,
Psychedelica of the Black Butterfly,7.8,Otomate,Aksys Games,,,
SteamWorld Dig,7.8,Image & Form,Image & Form,,,
The Walking Dead: 400 Days,7.8,Telltale Games,Telltale Games,,,
The Walking Dead: Season Two Episode 5 - No Going Back,7.8,Telltale Games,Telltale Games,,,
The Walking Dead: Season Two Episode 3 - In Harm's Way,7.8,Telltale Games,Telltale Games,,,
Uncharted: Golden Abyss,7.8,Sony Bend,SCEA,"Uncharted - Golden Abyss (Europe) (En-GB,Es,Pt,Sv,No,Da,Fi,Pl,Ru).vpk",3.3 GiB,135.8 GiB
Yomawari: Night Alone,7.8,Nippon Ichi Software,NIS America,Yomawari - Midnight Shadows (USA).vpk,807.5 MiB,136.6 GiB
Atelier Meruru: The Apprentice of Arland,7.8,Gust,NIS America,,,
Dokuro,7.8,Game Arts,GungHo,,,
La-Mulana,7.8,Pygmy Studio,Rising Star Games,,,
Need for Speed: Most Wanted,7.8,Criterion Games,Electronic Arts,"Need for Speed - Most Wanted (Europe) (En,Fr,De,Es,It,Ru).vpk",2.5 GiB,139.0 GiB
Retro City Rampage,7.8,Vblank Entertainment Inc.,Vblank Entertainment Inc.,,,
Root Letter,7.8,Kadokawa,PQube,Root Letter (USA).vpk,1.3 GiB,140.3 GiB
rymdkapsel,7.8,,webbfarbror AB,,,
Samurai Warriors 4,7.8,Omega Force,Koei Tecmo Games,,,
Sly Cooper: Thieves in Time,7.8,Sanzaru Games,SCEA,Sly Cooper - Thieves in Time (USA).vpk,3.2 GiB,143.5 GiB
Street Fighter X Tekken,7.8,Capcom,Capcom,"Street Fighter X Tekken (Europe) (En,Fr,De,Es,It,Ru).vpk",2.1 GiB,145.6 GiB
Tokyo Xanadu,7.8,Falcom,Aksys Games,Tokyo Xanadu (USA).vpk,2.2 GiB,147.8 GiB
Toukiden,7.8,Omega Force,Tecmo Koei Games,Toukiden 2 (USA).vpk,2.4 GiB,150.2 GiB
Attack on Titan,7.7,Omega Force,Koei Tecmo Games,,,
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,7.7,Gaijin Games,Gaijin Games,,,
CastleStorm,7.7,Zen Studios,Microsoft Game Studios,,,
Disney Infinity 2.0 Edition,7.7,Avalanche Software,Disney Interactive Studios,Disney Infinity - 2.0 Edition - Marvel Super Heroes (USA).vpk,3.3 GiB,153.5 GiB
Floating Cloud God Saves the Pilgrims in HD!,7.7,Dakko Dakko,Dakko Dakko,,,
God Wars: Future Past,7.7,Kadokawa,NIS America,God Wars - Future Past (USA).vpk,1.5 GiB,155.0 GiB
Hitman GO,7.7,Square Enix Montreal,Square Enix,,,
Injustice: Gods Among Us - Ultimate Edition,7.7,NetherRealm Studios,Warner Bros. Interactive Entertainment,Injustice - Gods Among Us - Ultimate Edition (USA).vpk,3.0 GiB,158.0 GiB
Muv-Luv,7.7,age,Degica,,,
Rock Boshers DX: Director's Cut,7.7,Tikipod Limited,Tikipod Limited,,,
Sid Meier's Civilization Revolution 2,7.7,2K Games,2K Games,,,
Atelier Shallie: Alchemists of the Dusk Sea,7.7,Gust,Koei Tecmo Games,,,
Earth Defense Force 2: Invaders From Planet Space,7.7,Sandlot,XSEED Games,Earth Defense Force 2 - Invaders From Planet Space (USA).vpk,280.3 MiB,158.3 GiB
Oddworld: Munch's Oddysee HD,7.7,Square One Games,Oddworld Inhabitants,,,
Ratchet & Clank Collection,7.7,Idol Minds,SCEA,"Ratchet & Clank Trilogy, The (Europe) (En,Fr,De,Es,It).vpk",3.2 GiB,161.5 GiB
SUPERBEAT: XONiC,7.7,Nurijoy,PM Studios Inc.,SUPERBEAT - XONiC (USA).vpk,2.9 GiB,164.4 GiB
MLB 12: The Show,7.7,SCEA San Diego Studios,SCEA,MLB 12 - The Show (USA).vpk,2.7 GiB,167.1 GiB
Ray Gigant,7.7,Bandai Namco Games,acttil llc.,,,
Sonic & All-Stars Racing Transformed,7.7,Sumo Digital,Sega,Sonic & All-Stars Racing Transformed (Europe).vpk,1.4 GiB,168.5 GiB
Superdimension Neptune VS Sega Hard Girls,7.7,Compile Heart,Idea Factory,Superdimension Neptune VS Sega Hard Girls (USA).vpk,1.5 GiB,170.0 GiB
The Pinball Arcade,7.7,Farsight Studios,Farsight Studios,,,
Stranger of Sword City,7.6,Experience Inc.,NIS America,Stranger of Sword City (USA).vpk,545.9 MiB,170.6 GiB
VA-11 Hall-A: Cyberpunk Bartender Action,7.6,Sukeban Games,Ysbryd Games,,,
Entwined,7.6,Pixel Opus,SCEA,,,
Frozen Synapse Prime,7.6,Double Eleven,Double Eleven,,,
Heroes of Loot,7.6,OrangePixel,OrangePixel,,,
One Piece: Pirate Warriors 3,7.6,Omega Force,Bandai Namco Games,"One Piece - Unlimited World Red (USA) (En,Ja).vpk",181.5 MiB,170.7 GiB
Open Me!,7.6,SCEI,SCEA,,,
Persona 3: Dancing in Moonlight,7.6,Atlus,Atlus,Persona 4 - Dancing All Night (USA).vpk,3.1 GiB,173.9 GiB
Valkyrie Drive: Bhikkhuni,7.6,Marvelous Inc.,PQube,Valkyrie Drive - Bhikkhuni (Europe).vpk,1.5 GiB,175.3 GiB
Collar x Malice,7.6,Otomate,Aksys Games,Collar x Malice (USA).vpk,2.5 GiB,177.8 GiB
FIFA Soccer (2012),7.6,Electronic Arts,EA Sports,FIFA Soccer 13 (USA).vpk,2.8 GiB,180.6 GiB
J-Stars Victory Vs+,7.6,Spike Chunsoft,Bandai Namco Games,"J-Stars Victory Vs Plus (Europe, Asia).vpk",1.7 GiB,182.3 GiB
Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night,7.6,Lucid Games,SCEA,,,
Teslagrad,7.6,Rain Games,Rain Games,"Teslagrad (Europe) (En,Fr,De,Es,It,Nl,Pt,No,Pl,Ru,Tr).vpk",266.2 MiB,182.6 GiB
Danganronpa V3: Killing Harmony,7.5,Spike Chunsoft,NIS America,Danganronpa V3 - Killing Harmony (USA).vpk,2.6 GiB,185.2 GiB
God of War Collection,7.5,Bluepoint Games,SCEA,"God Of War Collection (Europe) (En,Fr,De,Es,It).vpk",3.1 GiB,188.3 GiB
BADLAND,7.5,Frogmind,Frogmind,,,
Duke Nukem 3D: Megaton Edition,7.5,Abstraction Games,Devolver Digital,,,
Gal*Gun: Double Peace,7.5,Inti Creates,PQube,Gal Gun - Double Peace (Europe).vpk,1.3 GiB,189.5 GiB
Gunslugs,7.5,Abstraction Games,Abstraction Games,,,
Hustle Kings,7.5,VooFoo Studios,SCEA,,,
Jetpack Joyride,7.5,Halfbrick Studios,Halfbrick Studios,,,
Lost Dimension,7.5,Lancarse,Atlus,Lost Dimension (Europe).vpk,1019.2 MiB,190.5 GiB
PlayStation All-Stars Battle Royale,7.5,SuperBot Entertainment,SCEA,"PlayStation All-Stars Battle Royale (USA) (En,Ja,Es,Pt).vpk",1.3 GiB,191.9 GiB
Scram Kitty and his Buddy on Rails,7.5,Dakko Dakko,Dakko Dakko,,,
Son of Scoregasm,7.5,Charlie's Games,Charlie's Games,,,
Danganronpa Another Episode: Ultra Despair Girls,7.5,Spike Chunsoft,NIS America,Danganronpa Another Episode - Ultra Despair Girls (Europe).vpk,2.2 GiB,194.1 GiB
LEGO Ninjago: Shadow of Ronin,7.5,TT Fusion,Warner Bros. Interactive Entertainment,LEGO Ninjago - Shadow of Ronin (USA).vpk,1.2 GiB,195.3 GiB
The Swindle,7.5,Size Five Games,Curve Digital,,,
Deception IV: The Nightmare Princess,7.4,Koei Tecmo Games,Koei Tecmo Games,,,
Age of Zombies,7.4,Halfbrick Studios,Halfbrick Studios,,,
Criminal Girls 2: Party Favors,7.4,Nippon Ichi Software,NIS America,Criminal Girls 2 - Party Favors (Europe).vpk,1.1 GiB,196.4 GiB
Exist Archive: The Other Side of the Sky,7.4,Tri-Ace,Aksys Games,"Exist Archive - The Other Side of the Sky (USA) (En,Ja).vpk",3.3 GiB,199.7 GiB
Fate/Extella: The Umbral Star,7.4,Marvelous Inc.,XSEED Games,,,
MLB 13: The Show,7.4,SCEA San Diego Studios,SCEA,"MLB 13 - The Show (USA) (En,Fr).vpk",3.2 GiB,202.8 GiB
Norn9: Var Commons,7.4,Idea Factory,Aksys Games,"Norn9 - Var Commons (USA) (En,Ja).vpk",2.7 GiB,205.5 GiB
Nuclear Throne,7.4,Vlambeer,Vlambeer,,,
Resident Evil: Revelations 2,7.4,Capcom,Capcom,,,
Rocketbirds: Hardboiled Chicken,7.4,Ratloop Asia Pte Ltd,Ratloop Asia Pte Ltd,,,
Samurai Warriors Chronicles 3,7.4,Omega Force,Koei Tecmo Games,,,
