title,score,developer,publisher,rom_name,size,running_total
Project Justice,7.9,Capcom,Capcom,Project Justice (USA) (Track 3).bin,1.1 GiB,46.0 GiB
Sega Marine Fishing,7.9,Wow Entertainment,Sega,Sega Marine Fishing (USA) (Track 3).bin,1.1 GiB,47.1 GiB
StarLancer,7.9,Digital Anvil,Microsoft Game Studios,StarLancer (USA) (Track 5).bin,833.0 MiB,47.9 GiB
Tony Hawk's Pro Skater 2,7.9,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 2 (USA) (Track 5).bin,923.5 MiB,48.8 GiB
Record of Lodoss War,7.8,Neverland,Conspiracy Entertainment,Record of Lodoss War (USA) (Track 5).bin,642.8 MiB,49.4 GiB
San Francisco Rush 2049,7.8,Midway,Midway,"San Francisco Rush 2049 (USA) (En,Fr,De,Es,It,Nl) (Track 5).bin",1.1 GiB,50.5 GiB
Mars Matrix,7.8,Takumi Corporation,Capcom,Mars Matrix (USA) (Track 3).bin,1.1 GiB,51.6 GiB
NCAA College Football 2K2: Road to the Rose Bowl,7.8,Visual Concepts,Sega,NCAA College Football 2K2 - Road to the Rose Bowl (USA) (Track 5).bin,906.4 MiB,52.5 GiB
NFL 2K1,7.8,Visual Concepts,Sega,NFL 2K1 (USA) (Track 5).bin,1.1 GiB,53.6 GiB
NFL Blitz 2001,7.8,Avalanche Software,Midway,NFL Blitz 2001 (USA) (Track 5).bin,520.5 MiB,54.1 GiB
The Last Blade 2,7.8,SNK,Agetec,"Last Blade 2, The - Heart of the Samurai (USA) (Track 5).bin",1.0 GiB,55.1 GiB
NBA 2K2,7.7,Visual Concepts,Sega,NBA 2K2 (USA) (Track 5).bin,842.3 MiB,55.9 GiB
The Typing of the Dead,7.7,Smilebit,Sega,"Typing of the Dead, The (USA) (Track 5).bin",1.1 GiB,57.0 GiB
Railroad Tycoon II: Gold Edition,7.7,Tremor Entertainment,Gathering,Railroad Tycoon II (USA) (Track 03).bin,474.4 MiB,57.5 GiB
Alien Front Online,7.6,Sega,Sega,Alien Front Online (USA) (Track 3).bin,960.0 MiB,58.4 GiB
Alone in the Dark: The New Nightmare,7.6,Spiral House,Infogrames,Alone in the Dark - The New Nightmare (USA) (Disc 2) (Track 5).bin,2.1 GiB,60.5 GiB
Sega Bass Fishing 2,7.6,Wow Entertainment,Sega,Sega Bass Fishing 2 (USA) (Track 3).bin,1.1 GiB,61.6 GiB
Sega Smash Pack Volume 1,7.6,Sega,Sega,Sega Smash Pack - Volume 1 (USA) (Track 03).bin,628.8 MiB,62.2 GiB
Speed Devils Online Racing,7.6,Ubisoft Montreal,Ubisoft,Speed Devils - Online Racing (USA) (Track 13).bin,431.4 MiB,62.6 GiB
Star Wars Episode I: Jedi Power Battles,7.6,LucasArts,LucasArts,Star Wars - Episode I - Jedi Power Battles (USA) (Track 5).bin,669.4 MiB,63.3 GiB
NFL 2K2,7.5,Visual Concepts,Sega,NFL 2K2 (USA) (Track 5).bin,1.1 GiB,64.4 GiB
Mat Hoffman's Pro BMX,7.5,Shaba Games,Activision,Mat Hoffman's Pro BMX (USA) (Track 3).bin,1.1 GiB,65.5 GiB
Tom Clancy's Rainbow Six: Rogue Spear,7.5,Pipe Dream Interactive,Red Storm Entertainment,Tom Clancy's Rainbow Six with Eagle Watch Missions (USA) (Track 35).bin,557.8 MiB,66.0 GiB
Fur Fighters,7.5,Bizarre Creations,Acclaim,"Fur Fighters (USA) (En,Fr,De,Es) (Rev B) (Track 3).bin",1.1 GiB,67.1 GiB
Soldier of Fortune,7.5,Runecraft,Crave,Soldier of Fortune (USA) (Track 6).bin,1.0 GiB,68.1 GiB
4x4 Evolution,7.4,Terminal Reality,Gathering,4x4 Evo (USA) (Track 03).bin,733.1 MiB,68.9 GiB
AeroWings 2: Air Strike,7.4,CRI,Crave,AeroWings 2 - Airstrike (USA) (Track 3).bin,1.1 GiB,70.0 GiB
Frogger 2: Swampy's Revenge,7.4,Blitz Games,Hasbro Interactive,Frogger 2 - Swampy's Revenge (USA) (Track 3).bin,1.1 GiB,71.0 GiB
The King of Fighters '99,7.4,SNK,Agetec,"King of Fighters 2002, The (Japan) (En,Ja) (Track 3).bin",833.7 MiB,71.8 GiB
Cannon Spike,7.3,Psikyo,Capcom,Cannon Spike (USA) (Track 3).bin,1.1 GiB,73.0 GiB
Dave Mirra Freestyle BMX,7.3,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX (USA) (Track 03).bin,607.6 MiB,73.5 GiB
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco,Ms. Pac-Man Maze Madness (USA) (Track 03).bin,603.4 MiB,74.1 GiB
Outtrigger,7.3,Sega AM2,Sega,Outtrigger (USA) (Track 3).bin,1.1 GiB,75.2 GiB
Red Dog: Superior Firepower,7.3,Argonaut Games,Crave,Red Dog - Superior Firepower (USA) (Track 3).bin,1.1 GiB,76.3 GiB
Hidden & Dangerous,7.2,Illusion Softworks,TalonSoft,Hidden & Dangerous (USA) (Track 5).bin,649.9 MiB,77.0 GiB
Illbleed,7.2,Crazy Games,AIA,Illbleed (USA) (Track 3).bin,1.1 GiB,78.1 GiB
Disney's Donald Duck: Goin' Quackers,7.1,Disney Interactive Studios,Ubisoft,Disney's Donald Duck - Goin' Quackers (USA) (Track 5).bin,762.8 MiB,78.8 GiB
Tokyo Xtreme Racer 2,7.1,Genki,Crave,Tokyo Xtreme Racer 2 (USA) (Track 3).bin,1.1 GiB,79.9 GiB
Coaster Works,7.0,Bimboosoft,Xicat Interactive,Coaster Works (USA) (Track 03).bin,973.4 MiB,80.9 GiB
Confidential Mission,7.0,Hitmaker,Sega,Confidential Mission (USA) (Track 3).bin,1.1 GiB,82.0 GiB
Giga Wing 2,7.0,Takumi Corporation,Capcom,GigaWing 2 (USA) (Track 3).bin,1.1 GiB,83.1 GiB
Ready 2 Rumble Boxing: Round 2,7.0,Midway,Midway,"Ready 2 Rumble Boxing - Round 2 (USA) (En,Fr,De) (Track 5).bin",1.0 GiB,84.1 GiB
Spawn: In the Demon's Hand,7.0,Capcom,Capcom,Spawn - In the Demon's Hand (USA) (Track 3).bin,1.1 GiB,85.2 GiB
D2,6.9,WARP,Sega,D2 (USA) (Disc 4) (Track 3).bin,4.4 GiB,89.7 GiB
Deep Fighter,6.9,Criterion Games,Ubisoft,Deep Fighter (USA) (Disc 2) (Track 26).bin,800.2 MiB,90.4 GiB
Pepsi Max Extreme Sports,6.9,Innerloop,Infogrames,Sega Extreme Sports (Japan) (Track 38).bin,291.7 MiB,90.7 GiB
POD: Speedzone,6.9,Ubisoft Romania,Ubisoft,POD - Speedzone (USA) (Track 03).bin,721.6 MiB,91.4 GiB
World Series Baseball 2K2,6.9,Visual Concepts,Sega,World Series Baseball 2K2 (USA) (Track 5).bin,806.9 MiB,92.2 GiB
Charge 'N Blast,6.8,SIMS,Xicat Interactive,Charge 'N Blast (USA) (Track 3).bin,1.1 GiB,93.3 GiB
Chicken Run,6.8,Blitz Games,Eidos Interactive,Chicken Run (USA) (Track 3).bin,1.1 GiB,94.4 GiB
Disney's 102 Dalmatians: Puppies to the Rescue,6.8,Crystal Dynamics,Eidos Interactive,Disney's 102 Dalmatians - Puppies to the Rescue (USA) (Track 5).bin,632.1 MiB,95.0 GiB
18 Wheeler: American Pro Trucker,6.7,Acclaim Studios Cheltenham,Acclaim,18 Wheeler - American Pro Trucker (USA) (Track 3).bin,1.1 GiB,96.1 GiB
Gauntlet Legends,6.7,Midway,Midway,Gauntlet Legends (USA) (Track 5).bin,664.4 MiB,96.8 GiB
Iron Aces,6.7,Marionette,Xicat Interactive,Iron Aces (USA) (Track 3).bin,1.1 GiB,97.9 GiB
Star Wars: Demolition,6.7,"Luxoflux, Inc.",LucasArts,Star Wars - Demolition (USA) (Track 15).bin,390.1 MiB,98.3 GiB
The Next Tetris: On-line Edition,6.7,Blue Planet Software,Crave,"Next Tetris, The - On-Line Edition (USA) (Track 03).bin",728.9 MiB,99.0 GiB
Ooga Booga,6.7,Visual Concepts,Sega,Ooga Booga (USA) (Track 3).bin,1.0 GiB,100.0 GiB
Max Steel: Covert Missions,6.6,Treyarch,Mattel,Max Steel - Covert Missions (USA) (Track 5).bin,796.9 MiB,100.8 GiB
Razor Freestyle Scooter,6.6,Shaba Games,Crave,Razor Freestyle Scooter (USA) (Track 03).bin,587.0 MiB,101.3 GiB
WWF Royal Rumble,6.6,Yuke's,THQ,WWF Royal Rumble (USA) (Track 3).bin,1.1 GiB,102.4 GiB
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,6.6,Traveller's Tales,Activision,Disney-Pixar Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Track 3).bin,1.1 GiB,103.5 GiB
NBA Hoopz,6.5,Eurocom,Midway,NBA Hoopz (USA) (Track 5).bin,244.0 MiB,103.8 GiB
Super Runabout: San Francisco Edition,6.5,Climax Entertainment,Interplay,Super Runabout - San Francisco Edition (USA) (Track 23).bin,345.3 MiB,104.1 GiB
Walt Disney World Quest: Magical Racing Tour,6.5,Crystal Dynamics,Eidos Interactive,Walt Disney World Quest - Magical Racing Tour (USA) (Track 19).bin,590.2 MiB,104.7 GiB
Floigan Bros. Episode 1,6.4,Visual Concepts,Sega,Floigan Bros. - Episode 1 (USA) (Track 3).bin,603.2 MiB,105.3 GiB
Gunbird 2,6.4,Psikyo,Capcom,Gunbird 2 (USA) (Track 3).bin,1.1 GiB,106.4 GiB
Sports Jam,6.4,Wow Entertainment,Agetec,Sports Jam (USA) (Track 3).bin,1.1 GiB,107.5 GiB
Stupid Invaders,6.4,Xilam,Ubisoft,Stupid Invaders (USA) (Disc 2) (Track 3).bin,2.2 GiB,109.7 GiB
Silent Scope,6.3,KCET,Konami,Silent Scope (USA) (Track 3).bin,1.1 GiB,110.8 GiB
Sonic Shuffle,6.2,Sega,Sega,Sonic Shuffle (USA) (Track 3).bin,1.1 GiB,111.9 GiB
SnoCross Championship Racing,6.2,Unique Development Studios,Crave,SnoCross Championship Racing (USA) (Track 03).bin,472.0 MiB,112.4 GiB
KAO the Kangaroo (2000),6.2,X-Ray Interactive,Titus Software,"Kao the Kangaroo (USA) (En,Es) (Track 03).bin",373.3 MiB,112.7 GiB
Bang! Gunship Elite,6.1,Rayland Interactive,Red Storm Entertainment,Bang! Gunship Elite (USA) (Track 9).bin,762.0 MiB,113.5 GiB
Championship Surfer,6.1,Krome Studios,Mattel,Championship Surfer (USA) (Track 03).bin,765.8 MiB,114.2 GiB
ESPN International Track & Field,6.1,KCEO,Konami,ESPN International Track & Field (USA) (Track 3).bin,1.1 GiB,115.3 GiB
Virtua Athlete 2000,6.1,Hitmaker,Agetec,"Virtua Athlete 2000 (USA) (En,Fr,De,Es) (Track 3).bin",1.1 GiB,116.4 GiB
Army Men: Sarge's Heroes,6.0,Saffire,Midway,Army Men - Sarge's Heroes (USA) (Track 3).bin,610.6 MiB,117.0 GiB
Atari Anniversary Edition,6.0,Digital Eclipse,Infogrames,Atari Anniversary Edition (USA) (Track 5).bin,901.3 MiB,117.9 GiB
Zombie Revenge,6.0,Sega,Sega,Zombie Revenge (USA) (Track 3).bin,1.1 GiB,119.0 GiB
KISS: Psycho Circus - The Nightmare Child,5.9,Third Law Interactive,Gathering,KISS Psycho Circus - The Nightmare Child (USA) (Track 33).bin,297.8 MiB,119.3 GiB
Maximum Pool,5.9,Dynamix,Sierra Entertainment,Maximum Pool (USA) (Track 3).bin,640.1 MiB,119.9 GiB
Tomb Raider: Chronicles,5.9,Core Design Ltd.,Eidos Interactive,Tomb Raider Chronicles (USA) (Track 8).bin,958.2 MiB,120.9 GiB
Heavy Metal: Geomatrix,5.8,Capcom,Capcom,Heavy Metal - Geomatrix (USA) (Track 3).bin,1.1 GiB,122.0 GiB
Prince of Persia: Arabian Nights,5.8,Avalanche Software,Mattel,Prince of Persia - Arabian Nights (USA) (Track 5).bin,705.7 MiB,122.7 GiB
Q*bert (1999),5.8,Artech Digital Entertainment,Hasbro Interactive,Q-bert (USA) (Track 03).bin,1.0 GiB,123.7 GiB
Conflict Zone,5.5,MASA Group,Ubisoft,Conflict Zone (USA) (Track 3).bin,1.1 GiB,124.8 GiB
Disney/Pixar Buzz Lightyear of Star Command,5.5,Traveller's Tales,Activision,Disney-Pixar Buzz Lightyear of Star Command (USA) (Track 5).bin,643.3 MiB,125.4 GiB
Surf Rocket Racers,5.5,CRI,Crave,Surf Rocket Racers (USA) (Track 3).bin,1.1 GiB,126.5 GiB
Disney's Dinosaur,5.3,Disney Interactive Studios,Ubisoft,Disney's Dinosaur (USA) (Track 3).bin,1.1 GiB,127.6 GiB
Sydney 2000,5.3,Attention To Detail,Eidos Interactive,Sydney 2000 (USA) (Track 6).bin,645.8 MiB,128.2 GiB
Urban Chaos,5.2,Mucky Foot Productions,Eidos Interactive,"Urban Chaos (USA) (En,Fr) (Track 5).bin",1.0 GiB,129.2 GiB
The Grinch,5.1,Artificial Mind and Movement,Konami,"Grinch, The (USA) (En,Fr,Es) (Track 3).bin",750.2 MiB,130.0 GiB
Spec Ops II: Omega Squad,5.0,Runecraft,Ripcord Games,Spec Ops II - Omega Squad (USA) (Track 03).bin,365.2 MiB,130.3 GiB
Evil Dead: Hail to the King,4.9,Heavy Iron Studios,THQ,Evil Dead - Hail to the King (USA) (Track 5).bin,1.1 GiB,131.4 GiB
World Series Baseball 2K1,4.8,Wow Entertainment,Sega,World Series Baseball 2K1 (USA) (Track 3).bin,1.1 GiB,132.5 GiB
Death Crimson OX,4.6,Ecole,Sammy Studios,Death Crimson OX (USA) (Track 3).bin,1.1 GiB,133.6 GiB
Dragonriders: Chronicles of Pern,4.6,Ubisoft,Red Storm Entertainment,Dragon Riders - Chronicles of Pern (USA) (Track 5).bin,896.0 MiB,134.5 GiB
NFL QB Club 2001,4.4,High Voltage Software,Acclaim,NFL QB Club 2001 (USA) (Track 3).bin,1.1 GiB,135.6 GiB
Jeremy McGrath Supercross 2000,4.3,Acclaim Studios Salt Lake City,Acclaim,Jeremy McGrath Supercross 2000 (USA) (Track 3).bin,844.3 MiB,136.4 GiB
Ducati World Racing Challenge,4.0,Attention To Detail,Acclaim,Ducati World - Racing Challenge (USA) (Track 03).bin,535.7 MiB,136.9 GiB
MTV Sports: Skateboarding featuring Andy Macdonald,4.0,Darkblack,THQ,MTV Sports - Skateboarding featuring Andy Macdonald (USA) (Track 3).bin,886.4 MiB,137.8 GiB
ECW Anarchy Rulz,3.8,Acclaim Studios Salt Lake City,Acclaim,ECW Anarchy Rulz (USA) (Track 5).bin,685.4 MiB,138.5 GiB
ESPN NBA 2Night,2.9,Konami,Konami,ESPN NBA 2Night (USA) (Track 5).bin,570.6 MiB,139.0 GiB
