title,score,developer,publisher,rom_name,size
Indiana Jones and the Infernal Machine,7.5,Factor 5,LucasArts,Indiana Jones and the Infernal Machine (Australia) (Proto).z64,33554432
World Driver Championship,7.5,Boss Game Studios,Midway,World Driver Championship (USA).z64,16777216
Mario Party 3,7.4,Hudson,Nintendo,Mario Party 3 (USA) (LodgeNet).v64,33554432
Quake,7.4,id Software,id Software,Quake (Europe).z64,12582912
Body Harvest,7.3,DMA Design,Midway,Body Harvest (USA).z64,12582912
Duke Nukem 3D,7.3,3D Realms,3D Realms,Duke Nukem 64 (USA).z64,8388608
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco,Ms. Pac-Man - Maze Madness (USA).z64,12582912
NFL Blitz 2001,7.2,Avalanche Software,Midway,NFL Blitz 2001 (USA).z64,16777216
Robotron X,7.2,Player 1,Crave,Robotron 64 (USA).v64,8388608
Spider-Man (2000),7.2,Neversoft Entertainment,Activision,Spider-Man (USA).z64,33554432
Dr. Mario 64,7.1,Newcom,Nintendo,Dr. Mario 64 (USA) (LodgeNet).v64,4194304
Mickey's Speedway USA,7.1,Rare Ltd.,Nintendo,"Mickey's Speedway USA (Europe) (En,Fr,De,Es,It).z64",33554432
1080: TenEighty Snowboarding,7.0,Nintendo,Nintendo,"1080 Snowboarding (USA) (En,Ja) (LodgeNet).v64",16777216
Looney Tunes Duck Dodgers Starring Daffy Duck,6.9,Paradigm Entertainment,Infogrames,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 2) (2000-03-07).v64",33554432
Mystical Ninja starring Goemon,6.7,KCEO,Konami,Mystical Ninja Starring Goemon (USA).z64,16777216
Disney's Donald Duck: Goin' Quackers,6.5,Disney Interactive Studios,Ubisoft,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It).v64",33554432
Yoshi's Story,6.5,Nintendo,Nintendo,"Yoshi's Story (USA) (En,Ja) (LodgeNet).v64",16777216
Ready 2 Rumble Boxing: Round 2,6.4,Midway,Midway,Ready 2 Rumble Boxing (USA) (LodgeNet).v64,33248096
Rugrats in Paris: The Movie,6.4,Avalanche Software,THQ,Rugrats in Paris - The Movie (USA).z64,16777216
Mission: Impossible (1998),6.1,Infogrames,Ocean,Mission - Impossible (USA).z64,12582912
Mega Man Legends,5.9,Capcom,Capcom,Gauntlet Legends (USA) (LodgeNet).v64,16777216
Midway's Greatest Arcade Hits Volume 1,5.9,Digital Eclipse,Midway,Midway's Greatest Arcade Hits - Volume 1 (USA) (LodgeNet).v64,4194304
