title,score,developer,publisher,rom_name,size,running_total
FIFA Soccer 10,8.3,EA Sports,Electronic Arts,"FIFA Soccer 10 (USA) (En,Es).iso",1.6 GiB,31.6 GiB
Lego Star Wars II: The Original Trilogy,8.3,Traveller's Tales,LucasArts,LEGO Star Wars II - The Original Trilogy (USA).iso,1.1 GiB,32.8 GiB
LocoRoco Hi,8.3,SCE Japan Studio,SCEA,LocoRoco 2 (USA).iso,1.7 GiB,34.5 GiB
MLB 06: The Show,8.3,SCEA San Diego Studios,SCEA,MLB 06 - The Show (USA) (v1.01).iso,1.4 GiB,35.8 GiB
MLB 08: The Show,8.3,SCEA San Diego Studios,SCEA,MLB 08 - The Show (USA).iso,1.4 GiB,37.2 GiB
Tony Hawk's Underground 2 Remix,8.3,Neversoft Entertainment,Activision,Tony Hawk's Underground 2 Remix (USA) (v1.01).iso,1.1 GiB,38.3 GiB
Valkyria Chronicles II,8.3,Sega,Sega,Valkyria Chronicles II (USA).iso,1.0 GiB,39.3 GiB
BlazBlue: Calamity Trigger,8.2,Arc System Works,Aksys Games,"BlazBlue - Calamity Trigger Portable (USA) (En,Ja,Zh,Ko).iso",1.6 GiB,40.9 GiB
Hot Shots Golf: Open Tee 2,8.2,Clap Hanz,SCEA,Hot Shots Golf - Open Tee 2 (USA) (v0.01) (Beta).iso,897.8 MiB,41.8 GiB
Kingdom Hearts: Birth by Sleep,8.2,Square Enix,Square Enix,"Kingdom Hearts - Birth by Sleep (USA) (En,Fr,Es).iso",1.6 GiB,43.4 GiB
Mega Man Powered Up,8.2,Capcom,Capcom,Mega Man - Powered Up (USA).iso,297.3 MiB,43.7 GiB
MLB 07: The Show,8.2,SCEA San Diego Studios,SCEA,MLB 07 - The Show (USA) (v1.01).iso,1.3 GiB,45.1 GiB
OutRun 2006: Coast 2 Coast,8.2,Sumo Digital,Sega,OutRun 2006 - Coast 2 Coast (USA) (v1.03).iso,605.4 MiB,45.7 GiB
Sega Genesis Collection,8.2,Digital Eclipse,Sega,Sega Genesis Collection (USA) (v1.01).iso,816.7 MiB,46.5 GiB
Sid Meier's Pirates!,8.2,Firaxis Games,Atari SA,"Sid Meier's Pirates! (USA) (En,Fr,De,Es,It) (v1.02).iso",318.0 MiB,46.8 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo,8.2,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo (USA) (Beta).iso,358.2 MiB,47.1 GiB
Tekken 6,8.2,Namco Bandai Games,Namco Bandai Games,"Tekken 6 (USA) (En,Fr,De,Es,It,Ru).iso",816.0 MiB,47.9 GiB
Wipeout Pulse,8.2,Studio Liverpool,SCEA,"WipEout Pulse (USA) (En,Fr,De,Es,It) (Promo).iso",435.8 MiB,48.3 GiB
A Space Shooter for 2 Bucks,8.1,Frima Studio,Frima Studio,"Space Shooter for Two Bucks!, A (USA) (v2) (minis) (PSN).iso",189.2 MiB,48.5 GiB
Coconut Dodge,8.1,FuturLab,FuturLab,Coconut Dodge (USA) (minis) (PSN).iso,139.1 MiB,48.7 GiB
Fieldrunners,8.1,Subatomic Studios,Subatomic Studios,Fieldrunners (USA) (minis) (PSN).iso,158.4 MiB,48.8 GiB
Hot Shots Golf: Open Tee,8.1,Clap Hanz,SCEA,Hot Shots Golf - Open Tee (USA) (v2.00).iso,438.4 MiB,49.2 GiB
Lumines II,8.1,Q Entertainment,Buena Vista Games,Lumines II (USA).iso,1.1 GiB,50.3 GiB
Marvel: Ultimate Alliance,8.1,Raven Software,Activision,Marvel - Ultimate Alliance (USA) (v2.00).iso,1.7 GiB,52.0 GiB
Monster Hunter Freedom Unite,8.1,Capcom,Capcom,"Monster Hunter Freedom Unite (USA) (En,Fr,De,Es,It).iso",845.6 MiB,52.8 GiB
Patapon 2,8.1,SCE Japan Studio,SCEA,"Patapon 2 (USA) (En,Fr,Es) (PSN & Store).iso",559.5 MiB,53.4 GiB
Pinball Fantasies,8.1,Cowboy Rodeo,Cowboy Rodeo,Pinball Fantasies (USA) (minis) (PSN).iso,113.1 MiB,53.5 GiB
Race Driver 2006,8.1,Sumo Digital,Codemasters,Race Driver 2006 (USA) (v1.01).iso,1.6 GiB,55.1 GiB
Resistance: Retribution,8.1,Sony Bend,SCEA,"Resistance - Retribution (USA) (En,Ja,Fr,Es).iso",1.6 GiB,56.6 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,8.1,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo 2 (USA).iso,882.0 MiB,57.5 GiB
The 2D Adventures of Rotating Octopus Character,8.1,Dakko Dakko,Dakko Dakko,"2D Adventures of Rotating Octopus Character, The (USA) (minis) (PSN).iso",138.2 MiB,57.6 GiB
The Warriors,8.1,Rockstar Toronto,Rockstar Games,"Warriors, The (USA) (v1.02).iso",1.7 GiB,59.3 GiB
