title,score,developer,publisher,rom_name,size
NCAA College Football 2K2: Road to the Rose Bowl,7.8,Visual Concepts,Sega,NCAA College Football 2K2 - Road to the Rose Bowl (USA) (Track 5).bin,950429088
NFL Blitz 2001,7.8,Avalanche Software,Midway,NFL Blitz 2001 (USA) (Track 5).bin,545798064
Demolition Racer,7.7,Pitbull Syndicate,Infogrames,Redline Racer (Japan) (Track 03).bin,538723248
Resident Evil 2 (1998),7.7,TOSE,Capcom,Resident Evil 3 - Nemesis (USA) (Track 3).bin,1185760800
The Last Blade 2,7.7,SNK,Agetec,Ghost Blade (Europe) (Unl) (Limited Edition) (Track 12).bin,535938480
Alien Front Online,7.6,Sega,Sega,Alien Front Online (USA) (Track 3).bin,1006663056
Record of Lodoss War,7.6,Neverland,Conspiracy Entertainment,Record of Lodoss War (USA) (Track 5).bin,674047920
Sega Bass Fishing 2,7.6,Wow Entertainment,Sega,Sega Bass Fishing 2 (USA) (Track 3).bin,1185760800
Sega Smash Pack Volume 1,7.6,Sega,Sega,Sega Smash Pack - Volume 1 (USA) (Track 03).bin,659385552
Speed Devils Online Racing,7.6,Ubisoft Montreal,Ubisoft,Speed Devils - Online Racing (USA) (Track 13).bin,452393088
Star Wars Episode I: Jedi Power Battles,7.6,LucasArts,LucasArts,Star Wars - Episode I - Jedi Power Battles (USA) (Track 5).bin,701916768
Alone in the Dark: The New Nightmare,7.5,Spiral House,Infogrames,Alone in the Dark - The New Nightmare (USA) (Disc 2) (Track 5).bin,1150057440
Mat Hoffman's Pro BMX,7.5,Shaba Games,Activision,Mat Hoffman's Pro BMX (USA) (Track 3).bin,1182625584
Tom Clancy's Rainbow Six: Rogue Spear,7.5,Pipe Dream Interactive,Red Storm Entertainment,Tom Clancy's Rainbow Six with Eagle Watch Missions (USA) (Track 35).bin,584897712
4x4 Evolution,7.4,Terminal Reality,Gathering,4x4 Evo (USA) (Track 03).bin,768718272
AeroWings 2: Air Strike,7.4,CRI,Crave,AeroWings 2 - Airstrike (USA) (Track 3).bin,1185760800
Dino Crisis,7.4,Capcom,Capcom,Dino Crisis (USA) (Track 3).bin,1185760800
Frogger 2: Swampy's Revenge,7.4,Blitz Games,Hasbro Interactive,Frogger 2 - Swampy's Revenge (USA) (Track 3).bin,1154253408
Cannon Spike,7.3,Psikyo,Capcom,Cannon Spike (USA) (Track 3).bin,1185760800
Dave Mirra Freestyle BMX,7.3,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX (USA) (Track 03).bin,637145040
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco,Ms. Pac-Man Maze Madness (USA) (Track 03).bin,632711520
Outtrigger,7.3,Sega AM2,Sega,Outtrigger (USA) (Track 3).bin,1185760800
Red Dog: Superior Firepower,7.3,Argonaut Games,Crave,Red Dog - Superior Firepower (USA) (Track 3).bin,1185760800
Hidden & Dangerous,7.2,Illusion Softworks,TalonSoft,Hidden & Dangerous (USA) (Track 5).bin,681423792
Disney's Donald Duck: Goin' Quackers,7.1,Disney Interactive Studios,Ubisoft,Disney's Donald Duck - Goin' Quackers (USA) (Track 5).bin,799868160
Coaster Works,7.0,Bimboosoft,Xicat Interactive,Coaster Works (USA) (Track 03).bin,1020659808
Confidential Mission,7.0,Hitmaker,Sega,Confidential Mission (USA) (Track 3).bin,1185760800
Giga Wing 2,7.0,Takumi Corporation,Capcom,GigaWing 2 (USA) (Track 3).bin,1185760800
Ready 2 Rumble Boxing: Round 2,7.0,Midway,Midway,"Ready 2 Rumble Boxing - Round 2 (USA) (En,Fr,De) (Track 5).bin",1120619808
Soldier of Fortune,7.0,Runecraft,Crave,Soldier of Fortune (USA) (Track 6).bin,1088745504
D2,6.9,WARP,Sega,D2 (USA) (Disc 4) (Track 3).bin,1185760800
Deep Fighter,6.9,Criterion Games,Ubisoft,Deep Fighter (USA) (Disc 2) (Track 26).bin,353602032
Pepsi Max Extreme Sports,6.9,Innerloop,Infogrames,Xtreme Sports (USA) (Track 38).bin,241341072
POD: Speedzone,6.9,Ubisoft Romania,Ubisoft,POD - Speedzone (USA) (Track 03).bin,756676032
World Series Baseball 2K2,6.9,Visual Concepts,Sega,World Series Baseball 2K2 (USA) (Track 5).bin,846115536
Charge 'N Blast,6.8,SIMS,Xicat Interactive,Charge 'N Blast (USA) (Track 3).bin,1185760800
Chicken Run,6.8,Blitz Games,Eidos Interactive,Chicken Run (USA) (Track 3).bin,1166888352
18 Wheeler: American Pro Trucker,6.7,Acclaim Studios Cheltenham,Acclaim,18 Wheeler - American Pro Trucker (USA) (Track 3).bin,1185760800
Iron Aces,6.7,Marionette,Xicat Interactive,Iron Aces (USA) (Track 3).bin,1185760800
Star Wars: Demolition,6.7,"Luxoflux, Inc.",LucasArts,Star Wars - Demolition (USA) (Track 15).bin,409003392
The King of Fighters '99,6.7,SNK,Agetec,"King of Fighters 2002, The (Japan) (En,Ja) (Track 3).bin",874172544
The Next Tetris: On-line Edition,6.7,Blue Planet Software,Crave,"Next Tetris, The - On-Line Edition (USA) (Track 03).bin",764258880
Disney's 102 Dalmatians: Puppies to the Rescue,6.6,Crystal Dynamics,Eidos Interactive,Disney's 102 Dalmatians - Puppies to the Rescue (USA) (Track 5).bin,662852400
Razor Freestyle Scooter,6.6,Shaba Games,Crave,Razor Freestyle Scooter (USA) (Track 03).bin,615518400
WWF Royal Rumble,6.6,Yuke's,THQ,WWF Royal Rumble (USA) (Track 3).bin,1185760800
NBA Hoopz,6.5,Eurocom,Midway,NBA Hoopz (USA) (Track 5).bin,255876432
Super Runabout: San Francisco Edition,6.5,Climax Entertainment,Interplay,Super Runabout - San Francisco Edition (USA) (Track 23).bin,362055120
Walt Disney World Quest: Magical Racing Tour,6.5,Crystal Dynamics,Eidos Interactive,Walt Disney World Quest - Magical Racing Tour (USA) (Track 19).bin,618884112
Floigan Bros. Episode 1,6.4,Visual Concepts,Sega,Floigan Bros. - Episode 1 (USA) (Track 3).bin,632551584
Gunbird 2,6.4,Psikyo,Capcom,Gunbird 2 (USA) (Track 3).bin,1185760800
Sports Jam,6.4,Wow Entertainment,Agetec,Sports Jam (USA) (Track 3).bin,1185760800
Stupid Invaders,6.4,Xilam,Ubisoft,Stupid Invaders (USA) (Disc 2) (Track 3).bin,1185760800
KAO the Kangaroo (2000),6.3,X-Ray Interactive,Titus Software,"Kao the Kangaroo (USA) (En,Es) (Track 03).bin",391452768
Silent Scope,6.3,KCET,Konami,Silent Scope (USA) (Track 3).bin,1185760800
SnoCross Championship Racing,6.2,Unique Development Studios,Crave,SnoCross Championship Racing (USA) (Track 03).bin,494940768
Spawn: In the Demon's Hand,6.2,Capcom,Capcom,Spawn - In the Demon's Hand (USA) (Track 3).bin,1185760800
Bang! Gunship Elite,6.1,Rayland Interactive,Red Storm Entertainment,Bang! Gunship Elite (USA) (Track 9).bin,799014384
Championship Surfer,6.1,Krome Studios,Mattel,Championship Surfer (USA) (Track 03).bin,802961040
ESPN International Track & Field,6.1,KCEO,Konami,ESPN International Track & Field (USA) (Track 3).bin,1185760800
Illbleed,6.1,Crazy Games,AIA,Illbleed (USA) (Track 3).bin,1185760800
Virtua Athlete 2000,6.1,Hitmaker,Agetec,"Virtua Athlete 2000 (USA) (En,Fr,De,Es) (Track 3).bin",1185760800
Army Men: Sarge's Heroes,6.0,Saffire,Midway,Army Men - Sarge's Heroes (USA) (Track 3).bin,640306128
Atari Anniversary Edition,6.0,Digital Eclipse,Infogrames,Atari Anniversary Edition (USA) (Track 5).bin,945047712
Zombie Revenge,6.0,Sega,Sega,Zombie Revenge (USA) (Track 3).bin,1185760800
Gauntlet Legends,5.9,Midway,Midway,Gauntlet Legends (USA) (Track 5).bin,696634176
KISS: Psycho Circus - The Nightmare Child,5.9,Third Law Interactive,Gathering,KISS Psycho Circus - The Nightmare Child (USA) (Track 33).bin,312310320
Maximum Pool,5.9,Dynamix,Sierra Entertainment,Maximum Pool (USA) (Track 3).bin,671194944
Tomb Raider: Chronicles,5.9,Core Design Ltd.,Eidos Interactive,Tomb Raider Chronicles (USA) (Track 8).bin,1004762640
Heavy Metal: Geomatrix,5.8,Capcom,Capcom,Heavy Metal - Geomatrix (USA) (Track 3).bin,1185760800
Prince of Persia: Arabian Nights,5.8,Avalanche Software,Mattel,Prince of Persia - Arabian Nights (USA) (Track 5).bin,739943904
Q*bert (1999),5.8,Artech Digital Entertainment,Hasbro Interactive,,
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,5.7,Traveller's Tales,Activision,Disney-Pixar Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Track 3).bin,1185760800
Max Steel: Covert Missions,5.6,Treyarch,Mattel,Max Steel - Covert Missions (USA) (Track 5).bin,835630320
Conflict Zone,5.5,MASA Group,Ubisoft,Conflict Zone (USA) (Track 3).bin,1180816896
Disney/Pixar Buzz Lightyear of Star Command,5.5,Traveller's Tales,Activision,Disney-Pixar Buzz Lightyear of Star Command (USA) (Track 5).bin,674537136
Surf Rocket Racers,5.5,CRI,Crave,Surf Rocket Racers (USA) (Track 3).bin,1178133264
Sonic Shuffle,5.4,Sega,Sega,Sonic Shuffle (USA) (Track 3).bin,1185760800
Disney's Dinosaur,5.3,Disney Interactive Studios,Ubisoft,Disney's Dinosaur (USA) (Track 3).bin,1185760800
Sydney 2000,5.3,Attention To Detail,Eidos Interactive,Sydney 2000 (USA) (Track 6).bin,677157264
Urban Chaos,5.2,Mucky Foot Productions,Eidos Interactive,"Urban Chaos (USA) (En,Fr) (Track 5).bin",1079170512
The Grinch,5.1,Artificial Mind and Movement,Konami,,
Spec Ops II: Omega Squad,5.0,Runecraft,Ripcord Games,Spec Ops II - Omega Squad (USA) (Track 03).bin,382957344
Evil Dead: Hail to the King,4.9,Heavy Iron Studios,THQ,Evil Dead - Hail to the King (USA) (Track 5).bin,1176559776
World Series Baseball 2K1,4.8,Wow Entertainment,Sega,World Series Baseball 2K2 (USA) (Track 5).bin,846115536
Death Crimson OX,4.6,Ecole,Sammy Studios,Death Crimson OX (USA) (Track 3).bin,1185760800
Dragonriders: Chronicles of Pern,4.6,Ubisoft,Red Storm Entertainment,Dragon Riders - Chronicles of Pern (USA) (Track 5).bin,939499344
NFL QB Club 2001,4.4,High Voltage Software,Acclaim,NFL QB Club 2001 (USA) (Track 3).bin,1163369760
Jeremy McGrath Supercross 2000,4.3,Acclaim Studios Salt Lake City,Acclaim,Jeremy McGrath Supercross 2000 (USA) (Track 3).bin,885323376
Ducati World Racing Challenge,4.0,Attention To Detail,Acclaim,Ducati World - Racing Challenge (USA) (Track 03).bin,561742272
MTV Sports: Skateboarding featuring Andy Macdonald,4.0,Darkblack,THQ,MTV Sports - Skateboarding featuring Andy Macdonald (USA) (Track 3).bin,929493936
ECW Anarchy Rulz,3.8,Acclaim Studios Salt Lake City,Acclaim,ECW Anarchy Rulz (USA) (Track 5).bin,718644192
ESPN NBA 2Night,2.9,Konami,Konami,ESPN NBA 2Night (USA) (Track 5).bin,598304112
