title,score,developer,publisher,rom_name,size,running_total
Mario Golf: Toadstool Tour,8.1,Camelot Software Planning,Nintendo,Mario Golf - Toadstool Tour (USA).iso,1.4 GiB,23.1 GiB
Super Mario Strikers,8.1,Next Level Games,Nintendo,Super Mario Strikers (USA).iso,1.4 GiB,24.5 GiB
Baten Kaitos: Eternal Wings and the Lost Ocean,8.1,Monolith Soft,Namco,Baten Kaitos - Eternal Wings and the Lost Ocean (USA) (Disc 2).iso,2.7 GiB,27.2 GiB
Star Fox Adventures,8.1,Rare Ltd.,Nintendo,Star Fox Adventures (USA) (Rev 1).iso,1.4 GiB,28.6 GiB
The Legend of Zelda: Four Swords Adventures,8.0,Nintendo,Nintendo,"Legend of Zelda, The - Four Swords Adventures (USA).iso",1.4 GiB,29.9 GiB
Mario Superstar Baseball,8.0,Namco,Nintendo,Mario Superstar Baseball (USA).iso,1.4 GiB,31.3 GiB
Wave Race: Blue Storm,7.9,Nintendo Software Technology,Nintendo,Wave Race - Blue Storm (USA).iso,1.4 GiB,32.6 GiB
Sonic Mega Collection (2002),7.9,Sonic Team,Sega,Sonic Mega Collection (USA).iso,1.4 GiB,34.0 GiB
Smuggler's Run: Warzones,7.9,Angel Studios,Rockstar Games,Smuggler's Run - Warzones (USA).iso,1.4 GiB,35.4 GiB
WWE WrestleMania XIX,7.9,Yuke's,THQ,WWE WrestleMania XIX (USA).iso,1.4 GiB,36.7 GiB
P.N. 03,7.8,Capcom,Capcom,P.N. 03 (USA).iso,1.4 GiB,38.1 GiB
Pac-Man vs.,7.8,Namco,Namco,Pac-Man Vs. (USA).iso,1.4 GiB,39.4 GiB
Knockout Kings 2003,7.8,EA Sports,Electronic Arts,Knockout Kings 2003 (USA).iso,1.4 GiB,40.8 GiB
WWE Day of Reckoning 2,7.8,Yuke's,THQ,WWE Day of Reckoning 2 (USA).iso,1.4 GiB,42.2 GiB
Battalion Wars,7.8,Kuju Entertainment,Nintendo,Battalion Wars (USA).iso,1.4 GiB,43.5 GiB
Ultimate Muscle: Legends vs New Generation,7.7,Aki Corp.,Bandai,Ultimate Muscle - Legends vs. New Generation (USA).iso,1.4 GiB,44.9 GiB
Pokemon Colosseum,7.7,Genius Sonority Inc.,Nintendo,Pokemon Colosseum (USA).iso,1.4 GiB,46.2 GiB
Lost Kingdoms,7.7,From Software,Activision,Lost Kingdoms (USA).iso,1.4 GiB,47.6 GiB
Beach Spikers: Virtua Beach Volleyball,7.7,Sega AM2,Sega,Beach Spikers - Virtua Beach Volleyball (USA).iso,1.4 GiB,48.9 GiB
"WarioWare, Inc.: Mega Party Game$!",7.6,Nintendo,Nintendo,"WarioWare, Inc. - Mega Party Game$! (USA).iso",1.4 GiB,50.3 GiB
Star Wars Rogue Squadron III: Rebel Strike,7.6,Factor 5,LucasArts,"Star Wars - Rogue Squadron III - Rebel Strike (USA) (En,Fr,De,Es,It).iso",1.4 GiB,51.7 GiB
Donkey Konga,7.6,Namco,Nintendo,Donkey Konga (USA).iso,1.4 GiB,53.0 GiB
Mario Party 6,7.5,Hudson Soft,Nintendo,Mario Party 6 (USA).iso,1.4 GiB,54.4 GiB
Wario World,7.5,Treasure,Nintendo,Wario World (USA).iso,1.4 GiB,55.7 GiB
Naruto: Clash of Ninja 2,7.5,Eighting,Tomy Corporation,Naruto - Clash of Ninja 2 (USA).iso,1.4 GiB,57.1 GiB
1080: Avalanche,7.5,Nintendo,Nintendo,1080 Avalanche (USA).iso,1.4 GiB,58.5 GiB
WWE Day of Reckoning,7.5,Yuke's,THQ,WWE Day of Reckoning (USA) (Rev 1).iso,1.4 GiB,59.8 GiB
Lost Kingdoms II,7.4,From Software,Activision,Lost Kingdoms II (USA).iso,1.4 GiB,61.2 GiB
Star Fox: Assault,7.4,Namco,Nintendo,Star Fox - Assault (USA).iso,1.4 GiB,62.5 GiB
Mario Party 4,7.3,Hudson,Nintendo,Mario Party 4 (USA) (Rev 1).iso,1.4 GiB,63.9 GiB
Mario Party 5,7.3,Hudson,Nintendo,Mario Party 5 (USA).iso,1.4 GiB,65.3 GiB
Phantasy Star Online Episode III: C.A.R.D. Revolution,7.3,Sonic Team,Sega,"Phantasy Star Online Episode III - C.A.R.D. Revolution (USA) (En,Ja).iso",1.4 GiB,66.6 GiB
Pokemon XD: Gale of Darkness,7.2,Genius Sonority Inc.,Nintendo,Pokemon XD - Gale of Darkness (USA).iso,1.4 GiB,68.0 GiB
Dance Dance Revolution: Mario Mix,7.2,Konami,Nintendo,Dance Dance Revolution - Mario Mix (USA) (Rev 1).iso,1.4 GiB,69.3 GiB
Swingerz Golf,7.2,Telenet,Eidos Interactive,Swingerz Golf (USA).iso,1.4 GiB,70.7 GiB
Summoner: A Goddess Reborn,7.2,Cranky Pants Games,THQ,Summoner - A Goddess Reborn (USA).iso,1.4 GiB,72.1 GiB
NBA Courtside 2002,7.1,Left Field Productions,Nintendo,NBA Courtside 2002 (USA).iso,1.4 GiB,73.4 GiB
Mario Party 7,7.1,Hudson,Nintendo,Mario Party 7 (USA) (Rev 1).iso,1.4 GiB,74.8 GiB
Kirby Air Ride,7.1,HAL Labs,Nintendo,Kirby Air Ride (USA).iso,1.4 GiB,76.1 GiB
Gotcha Force,7.1,Capcom,Capcom,Gotcha Force (USA).iso,1.4 GiB,77.5 GiB
Custom Robo,7.1,Noise Inc.,Nintendo,Custom Robo (USA).iso,1.4 GiB,78.9 GiB
Naruto: Clash of Ninja,7.1,Eighting,Tomy Corporation,Naruto - Clash of Ninja (USA).iso,1.4 GiB,80.2 GiB
Geist (2005),7.0,n-Space,Nintendo,Geist (USA).iso,1.4 GiB,81.6 GiB
Donkey Konga 2,6.9,Namco,Nintendo,Donkey Konga 2 (USA).iso,1.4 GiB,82.9 GiB
TransWorld Surf: Next Wave,6.8,Angel Studios,Atari SA,TransWorld Surf - Next Wave (USA).iso,1.4 GiB,84.3 GiB
Phantasy Star Online Episode I & II Plus,6.7,Sonic Team,Sega,"Phantasy Star Online Episode I & II Plus (Japan) (En,Ja,Fr,De,Es) (Rev 5).iso",1.4 GiB,85.7 GiB
Go! Go! Hypergrind,6.7,Poponchi,Atlus,Go! Go! Hypergrind (USA).iso,1.4 GiB,87.0 GiB
Home Run King,6.6,Wow Entertainment,Sega,Home Run King (USA).iso,1.4 GiB,88.4 GiB
WWE WrestleMania X8,6.4,Yuke's,THQ,WWE WrestleMania X8 (USA).iso,1.4 GiB,89.7 GiB
Pro Rally,6.4,Ubisoft,Ubisoft,"Pro Rally 2002 (USA) (En,Fr,Es).iso",1.4 GiB,91.1 GiB
Harvest Moon: Another Wonderful Life,6.4,TOSE,Natsume,Harvest Moon - Another Wonderful Life (USA).iso,1.4 GiB,92.5 GiB
Evolution Worlds,6.3,Sting,Ubisoft,Evolution Worlds (USA).iso,1.4 GiB,93.8 GiB
Mega Man Network Transmission,6.2,Arika,Capcom,Mega Man Network Transmission (USA).iso,1.4 GiB,95.2 GiB
Tube Slider,6.2,Nd Cube,NEC Interchannel,,,
Odama,6.2,Vivarium,Nintendo,Odama (USA) (Rev 1).iso,1.4 GiB,96.5 GiB
Disney's Magical Mirror Starring Mickey Mouse,6.0,Capcom,Nintendo,Disney's Magical Mirror Starring Mickey Mouse (USA).iso,1.4 GiB,97.9 GiB
Rave Master,6.0,Konami,Konami,Rave Master (USA).iso,1.4 GiB,99.3 GiB
Amazing Island,5.9,Hitmaker,Sega,Amazing Island (USA).iso,1.4 GiB,100.6 GiB
Shrek Extra Large,5.9,Digital Illusions,TDK Mediactive,Shrek Extra Large (USA).iso,1.4 GiB,102.0 GiB
Virtua Striker 2002,5.8,Amusement Vision,Sega,Virtua Striker 2002 (USA).iso,1.4 GiB,103.3 GiB
Pokemon Channel,5.8,Ambrella,Nintendo,Pokemon Channel (USA).iso,1.4 GiB,104.7 GiB
Yu-Gi-Oh! The Falsebound Kingdom,5.7,Konami,Konami,Yu-Gi-Oh! The Falsebound Kingdom (USA).iso,1.4 GiB,106.1 GiB
Big Air Freestyle,5.6,Paradigm Entertainment,Infogrames,Big Air Freestyle (USA).iso,1.4 GiB,107.4 GiB
Bust-A-Move 3000,5.3,Taito Corporation,Ubisoft,Bust-A-Move 3000 (USA).iso,1.4 GiB,108.8 GiB
Medabots: Infinity,5.1,Natsume,Natsume,Medabots Infinity (USA) (Rev 1).iso,1.4 GiB,110.1 GiB
"Disney/Pixar Monsters, Inc. Scream Arena",5.1,Radical Entertainment,THQ,"Disney-Pixar Monsters, Inc. - Scream Arena (USA).iso",1.4 GiB,111.5 GiB
Disney's Hide & Sneak,4.8,Capcom,Capcom,Disney's Hide & Sneak (USA) (Rev 1).iso,1.4 GiB,112.9 GiB
MC Groovz Dance Craze,4.2,Mad Catz,Mad Catz,MC Groovz Dance Craze (USA).iso,1.4 GiB,114.2 GiB
Universal Studios Theme Parks Adventure,3.9,Nai'a Digital Works,Kemco,Universal Studios Theme Park Adventure (USA).iso,1.4 GiB,115.6 GiB
BeyBlade VForce: Super Tournament Battle,3.3,AI,Atari SA,Beyblade VForce - Super Tournament Battle (USA).iso,1.4 GiB,116.9 GiB
