title,score,developer,publisher,rom_name,size,running_total
Legends of War: Patton's Campaign,7.9,Enigma Software Productions,Enigma Software Productions,Legends of War - Patton's Campaign (USA) (PSP) (PSN).iso,767.4 MiB,32.6 GiB
Gitaroo Man Lives!,7.9,Koei/Inis,Koei,Gitaroo Man Lives! (USA).iso,1.6 GiB,34.2 GiB
Floating Cloud God Saves the Pilgrims,7.9,Dakko Dakko,Dakko Dakko,Floating Cloud God Saves the Pilgrims (USA) (minis) (PSN).iso,127.8 MiB,34.4 GiB
Bomberman (2006),7.9,Hudson,Konami,Bomberman (USA).iso,104.9 MiB,34.5 GiB
Darkstalkers Chronicle: The Chaos Tower,7.9,Capcom,Capcom,Darkstalkers Chronicle - The Chaos Tower (USA).iso,660.5 MiB,35.1 GiB
Midnight Club: LA Remix,7.8,Rockstar London,Rockstar Games,Midnight Club - L.A. Remix (USA) (v2.02).iso,894.8 MiB,36.0 GiB
Lumines II,7.8,Q Entertainment,Buena Vista Games,Lumines II (USA).iso,1.1 GiB,37.1 GiB
Capcom Classics Collection Reloaded,7.8,Klein Computer Entertainment,Capcom,Capcom Classics Collection Reloaded (USA).iso,603.8 MiB,37.7 GiB
Namco Museum Battle Collection,7.8,TOSE,Namco,"Namco Museum Battle Collection (Europe) (En,Fr,De,Es,It).iso",533.3 MiB,38.2 GiB
Traxxpad,7.8,Definitive Studios,Eidos Interactive,,,
Metal Gear Solid: Digital Graphic Novel,7.8,Kojima Productions,Konami,Metal Gear Solid - Digital Graphic Novel (USA) (v1.01).iso,932.8 MiB,39.1 GiB
Hot Shots Tennis: Get a Grip,7.8,Clap Hanz,SCEA,Hot Shots Tennis - Get a Grip (USA) (v1.01).iso,1.2 GiB,40.3 GiB
Dungeon Maker II: The Hidden War,7.8,Global A,UFO Interactive,Dungeon Maker II - The Hidden War (USA) (v1.01).iso,165.3 MiB,40.4 GiB
Star Wars Battlefront: Renegade Squadron,7.8,Rebellion,LucasArts,Star Wars Battlefront - Renegade Squadron (USA).iso,887.4 MiB,41.3 GiB
Shift Extended,7.8,Zallag,Zallag,Shift Extended (USA) (minis) (PSN).iso,116.1 MiB,41.4 GiB
Field Commander,7.8,Sony Online Entertainment,Sony Online Entertainment,Field Commander (USA).iso,1.1 GiB,42.5 GiB
Ace Combat X: Skies of Deception,7.8,Project Aces ,Namco Bandai Games,Ace Combat X - Skies of Deception (USA).iso,1.0 GiB,43.6 GiB
Twisted Metal: Head-On,7.7,Incognito Inc.,SCEA,Twisted Metal - Head-On (USA).iso,799.8 MiB,44.4 GiB
Guilty Gear Judgment,7.7,Arc System Works,Majesco,Guilty Gear Judgment (USA) (v1.01).iso,572.8 MiB,44.9 GiB
DJ Max Fever,7.7,Pentavision Entertainment,PM Studios Inc.,DJ Max Fever (USA) (v1.03).iso,1.6 GiB,46.5 GiB
Dead Head Fred,7.7,Vicious Cycle,D3Publisher,Dead Head Fred (USA) (v1.02).iso,1.3 GiB,47.8 GiB
Class of Heroes 2,7.7,Zerodiv,MonkeyPaw Games,Class of Heroes 2 (USA) (v1.01).iso,660.0 MiB,48.5 GiB
"What Did I Do to Deserve This, My Lord!? 2",7.7,Acquire,NIS America,"What Did I Do to Deserve This, My Lord! 2 (USA) (v1.01).iso",309.9 MiB,48.8 GiB
Ultimate Ghosts 'n Goblins,7.7,TOSE,Capcom,Ultimate Ghosts 'n Goblins (USA).iso,411.9 MiB,49.2 GiB
Metal Gear Acid,7.7,Konami,Konami,Metal Gear Ac!d (USA).iso,192.1 MiB,49.4 GiB
Untold Legends: Brotherhood of the Blade,7.6,Sony Online Entertainment,Sony Online Entertainment,Untold Legends - Brotherhood of the Blade (USA) (v1.02).iso,815.4 MiB,50.2 GiB
Ultimate Block Party,7.6,Magicpot,Conspiracy Entertainment,Ultimate Block Party (USA) (v1.02).iso,136.1 MiB,50.3 GiB
Mad Blocker Alpha: Revenge of the Fluzzles,7.6,Open Emotion Studios,Open Emotion Studios,Mad Blocker Alpha - Revenge of the Fluzzles (Europe) (v3) (minis) (PSN).iso,133.0 MiB,50.4 GiB
Mytran Wars,7.6,Stormregion,Deep Silver,"Mytran Wars (USA) (En,Fr,De,Es,It) (v1.04).iso",1.1 GiB,51.6 GiB
Gungnir,7.6,Sting,Atlus,Gungnir (USA).iso,250.6 MiB,51.8 GiB
Dungeon Siege: Throne of Agony,7.6,SuperVillain Studios,Take-Two Interactive,Dungeon Siege - Throne of Agony (USA) (v1.02).iso,633.0 MiB,52.4 GiB
Capcom Classics Collection Remixed,7.6,Digital Eclipse,Capcom,Capcom Classics Collection Remixed (USA).iso,545.5 MiB,53.0 GiB
"What Did I Do to Deserve This, My Lord!?",7.5,Acquire,NIS America,"What Did I Do to Deserve This, My Lord! (USA) (PSP) (PSN).iso",179.7 MiB,53.1 GiB
Hammerin' Hero,7.5,Irem,Atlus,Hammerin' Hero (USA).iso,217.4 MiB,53.4 GiB
Puzzle Scape Mini,7.5,Farmind Ltd,Farmind Ltd,Puzzle Scape (USA) (v1.04).iso,330.1 MiB,53.7 GiB
Power Stone Collection,7.5,Capcom,Capcom,Power Stone Collection (USA).iso,493.4 MiB,54.2 GiB
Phantasy Star Portable 2,7.5,Alfa System,Sega,Phantasy Star Portable 2 (USA).iso,1.2 GiB,55.4 GiB
NBA Street Showdown,7.5,EA Canada,EA Sports Big,NBA Street Showdown (USA).iso,1.1 GiB,56.5 GiB
Gran Turismo: The Real Driving Simulator,7.5,Polyphony Digital,SCEA,,,
Archer Maclean's Mercury,7.5,Awesome Studios,Ignition Entertainment,Archer Maclean's Mercury (USA).iso,275.9 MiB,56.8 GiB
Activision Hits Remixed,7.5,Digital Eclipse,Activision,Activision Hits Remixed (USA) (v1.01).iso,264.8 MiB,57.0 GiB
Yu-Gi-Oh! 5D's Tag Force 4,7.5,Konami,Konami,"Yu-Gi-Oh! 5D's - Tag Force 4 (USA) (En,Fr,De,Es,It) (v1.01).iso",1.6 GiB,58.7 GiB
Star Ocean: First Departure,7.5,TOSE,Square Enix,Star Ocean - First Departure (USA).iso,1.1 GiB,59.7 GiB
Patapon 3,7.5,SCE Japan Studio,SCEA,"Patapon 3 (USA) (En,Fr,Es,Pt).iso",530.2 MiB,60.3 GiB
Need for Speed Underground Rivals,7.5,Team Fusion,EA Games,Need for Speed - Underground Rivals (USA).iso,843.8 MiB,61.1 GiB
Chili Con Carnage,7.5,Deadline Games,Eidos Interactive,Chili Con Carnage (USA) (v1.02).iso,760.2 MiB,61.8 GiB
Ragnarok Tactics,7.4,ApolloSoft,Aksys Games,Ragnarok Tactics (USA).iso,615.5 MiB,62.4 GiB
PQ2: Practical Intelligence Quotient,7.4,Now Production,D3Publisher,PQ - Practical Intelligence Quotient (USA) (v1.01).iso,170.4 MiB,62.6 GiB
Freekscape: Escape From Hell,7.4,Kidguru Studios,Creat Studios,Freekscape - Escape From Hell (USA) (minis) (PSN).iso,205.2 MiB,62.8 GiB
Every Extend Extra,7.4,Q Entertainment,Buena Vista Games,Every Extend Extra (USA).iso,357.3 MiB,63.1 GiB
Dragon Ball Z: Tenkaichi Tag Team,7.4,Spike,Namco Bandai Games,"Dragon Ball Z - Tenkaichi Tag Team (USA) (En,Fr,Es).iso",1.3 GiB,64.4 GiB
Death Jr. II: Root of Evil,7.4,Backbone Entertainment,Konami,Death Jr. II - Root of Evil (USA) (v1.01).iso,697.8 MiB,65.1 GiB
1000 Tiny Claws,7.4,Mediatonic,Mediatonic,1000 Tiny Claws (USA) (minis) (PSN).iso,194.0 MiB,65.3 GiB
Virtua Tennis: World Tour,7.3,Sumo Digital,Sega,Virtua Tennis - World Tour (USA) (v1.02).iso,409.8 MiB,65.7 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo,7.3,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo (USA) (v1.01).iso,534.2 MiB,66.2 GiB
Invizimals,7.3,Novarama,SCEA,"Invizimals (USA) (En,Fr,Es) (v1.02).iso",1.5 GiB,67.7 GiB
Yu-Gi-Oh! 5D's Tag Force 5,7.3,Konami,Konami,"Yu-Gi-Oh! 5D's - Tag Force 5 (USA) (En,Fr,De,Es,It).iso",1.6 GiB,69.3 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,7.3,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo 2 (USA).iso,882.0 MiB,70.2 GiB
One Epic Game,7.3,Grip Games,Grip Games,One Epic Game (USA) (minis) (PSN).iso,145.2 MiB,70.3 GiB
NFL Street 2 Unleashed,7.3,EA Tiburon,EA Sports Big,NFL Street 2 Unleashed (USA) (v1.02).iso,663.6 MiB,71.0 GiB
Generation of Chaos: Pandora's Reflection,7.3,Sting,NIS America,Generation of Chaos - Pandora's Reflection (USA) (PSN).iso,468.6 MiB,71.4 GiB
Dragon Ball Z: Shin Budokai,7.3,Dimps Corporation,Atari SA,Dragon Ball Z - Shin Budokai (USA).iso,311.6 MiB,71.7 GiB
Undead Knights,7.2,Now Production,Tecmo,Undead Knights (USA) (v1.04).iso,484.0 MiB,72.2 GiB
Dragon Ball Z: Shin Budokai - Another Road,7.2,Dimps Corporation,Atari SA,Dragon Ball Z - Shin Budokai Another Road (USA).iso,504.9 MiB,72.7 GiB
World Tour Soccer 06,7.2,SCEE London Studio,SCEA,World Tour Soccer 06 (USA).iso,864.4 MiB,73.5 GiB
Vibes,7.2,Laughing Jackal,Laughing Jackal,Vibes (USA) (v2) (minis) (PSN).iso,184.3 MiB,73.7 GiB
Tokobot,7.2,Tecmo,Tecmo,Tokobot (USA) (v1.02).iso,313.3 MiB,74.0 GiB
The Silent Hill Experience,7.2,Konami,Konami,Silent Hill Origins (USA) (PSN).iso,767.4 MiB,74.8 GiB
The Lord of the Rings: Tactics,7.2,Amaze Entertainment,EA Games,"Lord of the Rings, The - Tactics (USA).iso",528.5 MiB,75.3 GiB
SOCOM: U.S. Navy SEALs Tactical Strike,7.2,Slant Six,SCEA,SOCOM - U.S. Navy SEALs - Tactical Strike (USA).iso,1.3 GiB,76.6 GiB
Monster Hunter Freedom 2,7.2,Capcom,Capcom,Monster Hunter Freedom 2 (USA) (v1.01).iso,798.4 MiB,77.4 GiB
Ghost in the Shell: Stand Alone Complex (2005),7.2,G-Artists,Bandai,Ghost in the Shell - Stand Alone Complex (USA) (v1.01).iso,756.5 MiB,78.1 GiB
The Legend of Heroes: A Tear of Vermillion,7.2,Microvision,Bandai,"Legend of Heroes, The - A Tear of Vermillion (USA) (v1.01).iso",638.9 MiB,78.7 GiB
Black Rock Shooter: The Game,7.2,Imageepoch,NIS America,Black Rock Shooter - The Game (USA) (PSN).iso,1.3 GiB,80.0 GiB
Medal of Honor Heroes,7.2,Team Fusion,EA Games,Medal of Honor - Heroes (USA).iso,1.3 GiB,81.3 GiB
Dungeon Maker: Hunting Ground,7.2,Global A,XSEED Games,Dungeon Maker - Hunting Ground (USA) (v1.01).iso,143.5 MiB,81.5 GiB
Death Jr.,7.1,Backbone Entertainment,Konami,Death Jr. (USA) (v1.01).iso,415.0 MiB,81.9 GiB
