title,score,developer,publisher,rom_name,size,running_total
"What Did I Do to Deserve This, My Lord!?",8.2,Acquire,NIS America,"What Did I Do to Deserve This, My Lord! (USA) (PSP) (PSN).iso",179.7 MiB,27.5 GiB
Undead Knights,8.2,Now Production,Tecmo,Undead Knights (USA) (v1.04).iso,484.0 MiB,28.0 GiB
Ultimate Ghosts 'n Goblins,8.2,TOSE,Capcom,Ultimate Ghosts 'n Goblins (USA).iso,411.9 MiB,28.4 GiB
Sweet Fuse: At Your Side,8.2,Idea Factory,Aksys Games,Sweet Fuse - At Your Side (USA).iso,1.1 GiB,29.5 GiB
Star Wars Battlefront: Renegade Squadron,8.2,Rebellion,LucasArts,Star Wars Battlefront - Renegade Squadron (USA).iso,887.4 MiB,30.3 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo,8.2,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo (USA) (v1.01).iso,534.2 MiB,30.9 GiB
Hot Shots Golf: Open Tee 2,8.2,Clap Hanz,SCEA,Hot Shots Golf - Open Tee 2 (USA) (PSP) (PSN).iso,899.2 MiB,31.7 GiB
Dissidia: Final Fantasy,8.2,Square Enix,Square Enix,Dissidia Final Fantasy (Japan).iso,1.5 GiB,33.2 GiB
Death Jr.,8.2,Backbone Entertainment,Konami,Death Jr. (USA) (v1.01).iso,415.0 MiB,33.6 GiB
Capcom Classics Collection Reloaded,8.2,Klein Computer Entertainment,Capcom,Capcom Classics Collection Reloaded (USA).iso,603.8 MiB,34.2 GiB
"What Did I Do to Deserve This, My Lord!? 2",8.1,Acquire,NIS America,"What Did I Do to Deserve This, My Lord! 2 (USA) (v1.01).iso",309.9 MiB,34.5 GiB
The 2D Adventures of Rotating Octopus Character,8.1,Dakko Dakko,Dakko Dakko,"2D Adventures of Rotating Octopus Character, The (USA) (minis) (PSN).iso",138.2 MiB,34.7 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,8.1,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo 2 (USA).iso,882.0 MiB,35.5 GiB
Rock Band Unplugged,8.1,Backbone Entertainment,Electronic Arts,Rock Band Unplugged (USA).iso,1.3 GiB,36.8 GiB
Race Driver 2006,8.1,Sumo Digital,Codemasters,Race Driver 2006 (USA) (v1.01).iso,1.6 GiB,38.4 GiB
Phantasy Star Portable 2,8.1,Alfa System,Sega,Phantasy Star Portable 2 (USA).iso,1.2 GiB,39.6 GiB
Metal Gear Acid 2,8.1,Kojima Productions,Konami,Metal Gear Ac!d 2 (USA).iso,874.8 MiB,40.5 GiB
Lumines II,8.1,Q Entertainment,Buena Vista Games,Lumines II (USA).iso,1.1 GiB,41.6 GiB
Invizimals: The Lost Tribes,8.1,Novarama,SCEA,"Invizimals - The Lost Tribes (Europe) (En,Fr,De,Es,It,Nl,Pl,Ru) (v1.01).iso",1.3 GiB,42.9 GiB
Hot Shots Golf: Open Tee,8.1,Clap Hanz,SCEA,Hot Shots Golf - Open Tee (USA) (v2.00).iso,438.4 MiB,43.4 GiB
Valhalla Knights,8.0,K2 LLC,XSEED Games,Valhalla Knights (USA) (v1.01).iso,630.3 MiB,44.0 GiB
The Lord of the Rings: Tactics,8.0,Amaze Entertainment,EA Games,"Lord of the Rings, The - Tactics (USA).iso",528.5 MiB,44.5 GiB
One Epic Game,8.0,Grip Games,Grip Games,One Epic Game (USA) (minis) (PSN).iso,145.2 MiB,44.6 GiB
MLB,8.0,989 Sports,SCEA,MLB (USA).iso,1.1 GiB,45.7 GiB
Invizimals: Shadow Zone,8.0,Novarama,SCEA,"Invizimals - Shadow Zone (USA) (En,Fr,Es,Pt).iso",1.7 GiB,47.3 GiB
Hot Shots Tennis: Get a Grip,8.0,Clap Hanz,SCEA,Hot Shots Tennis - Get a Grip (USA) (v1.01).iso,1.2 GiB,48.5 GiB
