title,score,developer,publisher,rom_name,size,running_total
Phantasy Star Online Episode III: C.A.R.D. Revolution,7.5,Sonic Team,Sega,"Phantasy Star Online Episode III - C.A.R.D. Revolution (USA) (En,Ja).iso",1.4 GiB,66.6 GiB
Geist (2005),7.4,n-Space,Nintendo,Geist (USA).iso,1.4 GiB,68.0 GiB
Naruto: Clash of Ninja,7.2,Eighting,Tomy Corporation,Naruto - Clash of Ninja (USA).iso,1.4 GiB,69.3 GiB
Disney's Magical Mirror Starring Mickey Mouse,7.1,Capcom,Nintendo,Disney's Magical Mirror Starring Mickey Mouse (USA).iso,1.4 GiB,70.7 GiB
Yu-Gi-Oh! The Falsebound Kingdom,7.0,Konami,Konami,Yu-Gi-Oh! The Falsebound Kingdom (USA).iso,1.4 GiB,72.1 GiB
Harvest Moon: Another Wonderful Life,7.0,TOSE,Natsume,Harvest Moon - Another Wonderful Life (USA).iso,1.4 GiB,73.4 GiB
Go! Go! Hypergrind,6.7,Poponchi,Atlus,Go! Go! Hypergrind (USA).iso,1.4 GiB,74.8 GiB
Mega Man Network Transmission,6.5,Arika,Capcom,Mega Man Network Transmission (USA).iso,1.4 GiB,76.1 GiB
WWE WrestleMania X8,6.4,Yuke's,THQ,WWE WrestleMania X8 (USA).iso,1.4 GiB,77.5 GiB
"Disney/Pixar Monsters, Inc. Scream Arena",6.3,Radical Entertainment,THQ,"Disney-Pixar Monsters, Inc. - Scream Arena (USA).iso",1.4 GiB,78.9 GiB
Pokemon Channel,6.1,Ambrella,Nintendo,Pokemon Channel (USA).iso,1.4 GiB,80.2 GiB
Universal Studios Theme Parks Adventure,3.9,Nai'a Digital Works,Kemco,Universal Studios Theme Park Adventure (USA).iso,1.4 GiB,81.6 GiB
