title,score,developer,publisher
Disney's Lilo & Stitch (2002),8.0,Digital Eclipse,Disney Interactive
Crash Bandicoot: The Huge Adventure,8.0,Vicarious Visions,Universal Interactive
Zone of the Enders: The Fist of Mars,7.9,WinkySoft,Konami
The Pinball of the Dead,7.9,Sega,THQ
Tak and the Power of Juju (2003),7.9,Helixe,THQ
Super Dodge Ball Advance,7.9,Million,Atlus
Pac-Man Collection,7.9,Mass Media,Namco
Monster Rancher Advance 2,7.9,Tecmo,Tecmo
Mega Man Zero 4,7.9,Inti Creates,Capcom
Mega Man Battle Network,7.9,Capcom,Capcom
Mega Man & Bass,7.9,Capcom,Capcom
Lunar Legend,7.9,Game Arts,Ubisoft
Breath of Fire,7.9,Capcom,Capcom
Boktai 2: Solar Boy Django,7.9,KCEJ,Konami
Summon Night: Swordcraft Story,7.8,Flight-Plan,Atlus
Rebelstar: Tactical Command,7.8,Codo Games,Namco
Onimusha Tactics,7.8,Capcom,Capcom
Lady Sia,7.8,RFX Interactive,TDK Mediactive
Crash Bandicoot 2: N-Tranced,7.8,Vicarious Visions,Universal Interactive
Yoshi Topsy-Turvy,7.7,Artoon,Nintendo
Sonic Pinball Party,7.7,Sonic Team,Sega
Mega Man Battle Network 3: White Version,7.7,Capcom,Capcom
Hamtaro: Ham-Ham Games,7.7,Alphadream Corporation,Nintendo
Disney's Kim Possible 2: Drakken's Demise,7.7,Artificial Mind and Movement,Disney Interactive
Car Battler Joe,7.7,Ancient,Natsume
Spyro 2: Season of Flame,7.6,Digital Eclipse,Universal Interactive
Shonen Jump's One Piece,7.6,Dimps Corporation,Bandai
Monster Rancher Advance,7.6,Tecmo,Tecmo
Banjo-Kazooie: Grunty's Revenge,7.6,Rare Ltd.,THQ
Hamtaro: Ham-Ham Heartbreak,7.5,Pax Softonica,Nintendo
Frogger's Adventures 2: The Lost Wand,7.5,Konami,Konami
Dragon Ball Z: Supersonic Warriors,7.5,Cavia Inc.,Atari SA
Spyro: Season of Ice,7.4,Digital Eclipse,Universal Interactive
Lara Croft - Tomb Raider: The Prophecy,7.4,Ubisoft Milan,Ubisoft
Jet Grind Radio,7.4,Vicarious Visions,THQ
Dr. Mario / Puzzle League,7.4,TOSE,Nintendo
Zelda II: The Adventure of Link,7.3,Nintendo,Nintendo
Driver 2 Advance,7.3,Sennari Interactive,Infogrames
Contra III: The Alien Wars,7.3,TOSE,Konami
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,7.2,KCEJ,Konami
Yu-Gi-Oh! World Championship Tournament 2004,7.2,KCEJ,Konami
Super Robot Taisen: Original Generation,7.2,Banpresto,Atlus
Spyro: Attack of the Rhynocs,7.2,Digital Eclipse,Universal Interactive
Shrek 2 (2004),7.2,Vicarious Visions,Activision
Mega Man Battle Network 6: Cybeast Gregar,7.2,Capcom,Capcom
Ballistic: Ecks vs. Sever II,7.2,Crawfish Interactive,Bam Entertainment
Yu-Gi-Oh! The Sacred Cards,7.1,Konami,Konami
X-Men: Reign of Apocalypse,7.1,Digital Eclipse,Activision
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,7.1,TOSE,Buena Vista Interactive
Secret Agent Barbie: Royal Jewels Mission,7.1,Digital Illusions,VU Games
DreamWorks Madagascar (Game Boy Advance),7.1,Vicarious Visions,Activision
Medabots AX: Metabee Ver.,7.0,Natsume,Natsume
Mega Man Battle Network 5: Team Colonel,6.9,Capcom,Capcom
Dragon Ball GT: Transformation,6.9,Webfoot Technologies,Atari SA
American Bass Challenge,6.9,Starfish,Ubisoft
Mega Man Battle Network 4: Red Sun,6.8,Capcom,Capcom
Jazz Jackrabbit,6.8,Game Titan,Jaleco Entertainment
Grand Theft Auto (Game Boy Advance),6.8,Digital Eclipse,Rockstar Games
Banjo-Pilot,6.8,Rare Ltd.,THQ
Mega Man Battle Network 6: Cybeast Falzar,6.7,Capcom,Capcom
Mega Man Battle Network 5: Team Protoman,6.7,Capcom,Capcom
Mega Man Battle Network 4: Blue Moon,6.7,Capcom,Capcom
Guilty Gear X Advance Edition,6.7,Arc System Works,Sammy Studios
Crash Bandicoot Purple: Ripto's Rampage,6.7,Vicarious Visions,VU Games
Naruto: Ninja Council 2,6.5,Aspect,D3Publisher
Shrek Swamp Kart Speedway,6.4,Prolific,TDK Mediactive
Yu Yu Hakusho - Ghost Files: Spirit Detective,6.3,Sensory Sweep,Atari SA
Samurai Jack: The Amulet of Time,6.3,Virtucraft,Bam Entertainment
Digimon Battle Spirit 2,6.3,Dimps Corporation,Bandai
Mario Pinball Land,6.2,Fuse Games Limited,Nintendo
Dragon Ball Z: The Legacy of Goku,6.2,Webfoot Technologies,Infogrames
Disney's Kim Possible: Revenge of Monkey Fist,6.2,Digital Eclipse,Disney Interactive
Digimon Racing,6.2,Griptonite Games,Bandai
Yu-Gi-Oh! Reshef of Destruction,6.1,Konami,Konami
Rayman: Hoodlum's Revenge,6.1,Backbone Entertainment,Ubisoft
Star Wars: The New Droid Army,6.0,Helixe,THQ
Spyro Orange: The Cortex Conspiracy,6.0,Vicarious Visions,VU Games
Sega Smash Pack,6.0,CodeFire,THQ
Star Wars: Jedi Power Battles,5.8,HotGen,THQ
Mega Man: Battle Chip Challenge,5.5,Capcom,Capcom
Mario Party Advance,5.4,AI,Nintendo
The Legend of Spyro: A New Beginning (2006),5.3,Krome Studios,Sierra Entertainment
E.T. The Extra-Terrestrial,5.3,Fluid Studios,NewKidCo
Dragon Ball Z: Taiketsu,4.9,Webfoot Technologies,Atari SA
Looney Tunes: Back in Action (2003),4.7,Warthog,Electronic Arts
That's So Raven,3.9,Vicarious Visions,Buena Vista Interactive
Star Wars Episode II: Attack of the Clones,3.8,David A. Palmer Productions,THQ
Mortal Kombat Advance,3.3,Virtucraft,Midway
Mucha Lucha! Mascaritas of the Lost Code,2.6,Digital Eclipse,Ubisoft
Thunder Alley (2004),2.3,Pronto Games,XS Games
Yu-Gi-Oh! Dungeon Dice Monsters,,Konami,Konami
Yu-Gi-Oh! Destiny Board Traveler,,KCEJ,Konami
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,,Konami,Konami
Yoshi's Island: Super Mario Advance 3,,Nintendo,Nintendo
xXx,,Digital Eclipse,Activision
WWF Road to WrestleMania,,Natsume,THQ
WWE Survivor Series,,Natsume,THQ
Wings (1990),,Crawfish Interactive,Metro3D
Walt Disney's The Jungle Book,,Visual Impact,Ubisoft
Wade Hixton's Counter Punch,,Inferno Games,Destination Software
VeggieTales: LarryBoy and the Bad Apple,,Crave,Crave
Urban Yeti!,,Cave Barn,Telegames
Uno / Skip-Bo,,Black Lantern Studios,Destination Software
Uno Free Fall,,Black Lantern Studios,DSI Games
Ultimate Winter Games,,Sproing,Telegames
Ultimate Muscle: The Kinnikuman Legacy - The Path of the Superhero,,ShunDa,Bandai
Ultimate Arcade Games,,Nocturnal Entertainment,Telegames
Tweety & The Magic Gems,,Kemco,Kemco
Turok: Evolution (2002),,RFX Interactive,Acclaim
Turbo Turtle Adventure,,Iridon Interactive AB,Majesco
Trollz: Hair Affair!,,Powerhead Games,Ubisoft
Top Gear Rally,,Tantalus,Nintendo
Tom Clancy's Rainbow Six: Rogue Spear (2002),,Ubisoft Milan,Ubisoft
Tiny Toon Adventures: Wacky Stackers,,Warthog,Conspiracy Entertainment
Thunderbirds (2004),,Saffire,VU Games
The Tower SP,,Vivarium,Sega
The Ripping Friends: The World's Most Manly Men!,,Software Creations,THQ
The Revenge of Shinobi,,3d6 Games,THQ
The Powerpuff Girls: Mojo Jojo A-Go-Go,,Sennari Interactive,Bam Entertainment
The Magical Quest Starring Mickey Mouse,,Capcom,Nintendo
The King of Fighters EX: Neo Blood,,Artoon,Sammy Studios
Marvel's The Invincible Iron Man,,Torus Games,Activision
The Incredible Hulk (2003),,Pocket Studios,Universal Interactive
