title,score,developer,publisher
Pokemon Conquest,8.1,Koei Tecmo Games,Nintendo
Personal Trainer: Cooking,8.1,indieszero,Nintendo
Ninjatown,8.1,Venan Entertainment,SouthPeak Games
LEGO Battles: Ninjago,8.1,Hellbent Games,Warner Bros. Interactive Entertainment
KORG DS-10 PLUS,8.1,AQ Interactive,XSEED Games
Kingdom Hearts Re:coded,8.1,Square Enix,Square Enix
I Heart Geeks!,8.1,SevenOne Intermedia,cdv Software
Golden Sun: Dark Dawn,8.1,Camelot Software Planning,Nintendo
Fire Emblem: Shadow Dragon,8.1,Intelligent Systems,Nintendo
Dragon Quest IV: Chapters of the Chosen,8.1,ArtePiazza,Square Enix
Shin Megami Tensei: Strange Journey,8.0,Atlus,Atlus
Pokemon Trozei!,8.0,Genius Sonority Inc.,Nintendo
Pokemon Ranger: Guardian Signs,8.0,Creatures Inc.,Nintendo
Phineas and Ferb,8.0,Altron,Disney Interactive Studios
Mega Man ZX Advent,8.0,Inti Creates,Capcom
Lufia: Curse of the Sinistrals,8.0,Neverland,Natsume
Izuna 2: The Unemployed Ninja Returns,8.0,Ninja Studio,Atlus
Dragon Ball Z: Attack of the Saiyans,8.0,Monolith Soft,Namco Bandai Games
Art Style: BOXLIFE,8.0,Nintendo,Nintendo
Aliens: Infestation,8.0,WayForward,Sega
Trauma Center: Under the Knife 2,7.9,Vanguard,Atlus
Super Princess Peach,7.9,TOSE,Nintendo
Shin Megami Tensei: Devil Survivor 2,7.9,Atlus,Atlus
Scribblenauts,7.9,5TH Cell,Warner Bros. Interactive Entertainment
Metroid Prime Pinball,7.9,Fuse Games Limited,Nintendo
Mario vs. Donkey Kong: Mini-Land Mayhem,7.9,Nintendo Software Technology,Nintendo
Fossil Fighters: Champions,7.9,RED Entertainment,Nintendo
Etrian Odyssey,7.9,Atlus,Atlus
Dragon Quest Monsters: Joker 2,7.9,TOSE,Nintendo
Soul of Darkness,7.8,Gameloft,Gameloft
Soul Bubbles,7.8,Mekensleep,Eidos Interactive
Sonic Classic Collection,7.8,Creative Assembly,Sega
Rune Factory: A Fantasy Harvest Moon,7.8,Neverland,Natsume
Rondo of Swords,7.8,Success,Atlus
Robocalypse,7.8,Vogster,Tecmo
Pokemon Ranger: Shadows of Almia,7.8,Creatures Inc.,Nintendo
Mario Party DS,7.8,Hudson Soft,Nintendo
Kirby: Squeak Squad,7.8,Flagship,Nintendo
Harvest Moon DS: Grand Bazaar,7.8,Marvelous Entertainment,Natsume
Dragon Ball: Origins,7.8,Game Republic,Atari SA
Chibi-Robo! Park Patrol,7.8,Skip Ltd.,Nintendo
Big Bang Mini,7.8,Arkedo Studio,SouthPeak Games
AlphaBounce,7.8,Mad Monkey Studio,Motion Twin
Age of Empires: Mythologies,7.8,Griptonite Games,THQ
Yu-Gi-Oh! Nightmare Troubadour,7.7,Konami,Konami
Suikoden Tierkreis,7.7,Konami,Konami
Rune Factory 2: A Fantasy Harvest Moon,7.7,Neverland,Natsume
Retro Game Challenge,7.7,indieszero,XSEED Games
Number Battle,7.7,Nintendo,Nintendo
Mario Hoops: 3 on 3,7.7,Square Enix,Nintendo
Heroes of Mana,7.7,Brownie Brown,Square Enix
Harvest Moon DS: Sunshine Islands,7.7,Marvelous Entertainment,Natsume
Final Fantasy Crystal Chronicles: Ring of Fates,7.7,Square Enix,Square Enix
DK: Jungle Climber,7.7,Paon Corporation,Nintendo
Digimon World DS,7.7,Bec,Namco Bandai Games
Dementium: The Ward,7.7,Renegade Kid,Gamecock Media Group
Brain Age: Train Your Brain in Minutes a Day!,7.7,Nintendo,Nintendo
Brain Age 2: More Training in Minutes a Day,7.7,Nintendo,Nintendo
Yu-Gi-Oh! World Championship 2007,7.6,Konami,Konami
Super Robot Taisen OG Saga: Endless Frontier,7.6,Monolith Soft,Atlus
Star Fox Command,7.6,Q-Games,Nintendo
Mystery Dungeon: Shiren the Wanderer,7.6,ChunSoft,Sega
Mario vs. Donkey Kong 2: March of the Minis,7.6,Nintendo Software Technology,Nintendo
Harvest Moon DS,7.6,TOSE,Natsume
Dr. Mario Express,7.6,Arika,Nintendo
TrackMania DS,7.5,Firebrand Games,Atlus
Trace Memory,7.5,Cing,Nintendo
