title,score,developer,publisher
Grand Theft Auto IV,9.8,Rockstar North,Rockstar Games
Grand Theft Auto V,9.7,Rockstar North,Rockstar Games
BioShock,9.6,Irrational Games,2K Games
Mass Effect 2,9.6,BioWare,Electronic Arts
The Elder Scrolls V: Skyrim,9.6,Bethesda Game Studios,Bethesda Softworks
The Orange Box,9.6,Valve Software,EA Games
Portal 2,9.5,Valve Software,Valve Software
Red Dead Redemption,9.5,Rockstar San Diego,Rockstar Games
Vanquish,9.5,PlatinumGames,Sega
Batman: Arkham City,9.4,Rocksteady Studios,Warner Bros. Interactive Entertainment
Call of Duty 4: Modern Warfare,9.4,Infinity Ward,Activision
Call of Duty: Modern Warfare 2,9.4,Infinity Ward,Activision
Gears of War,9.4,Epic Games,Microsoft Game Studios
Halo 3,9.4,Bungie,Microsoft Game Studios
The Elder Scrolls IV: Oblivion,9.4,Bethesda Game Studios,2K Games
BioShock Infinite,9.3,Irrational Games,2K Games
Braid,9.3,Number None Inc.,Number None Inc.
Fallout 3,9.3,Bethesda Game Studios,Bethesda Softworks
Gears of War 2,9.3,Epic Games,Microsoft Game Studios
Mass Effect 3,9.3,BioWare,Electronic Arts
Pac-Man Championship Edition DX,9.3,Namco Bandai Games,Namco Bandai Games
Rock Band 3,9.3,Harmonix Music Systems,MTV Games
Street Fighter IV,9.3,Capcom,Capcom
Batman: Arkham Asylum,9.2,Rocksteady Studios,Eidos Interactive
Forza Motorsport 3,9.2,Turn 10,Microsoft Game Studios
Guitar Hero II,9.2,Harmonix Music Systems,RedOctane
Rock Band,9.2,Harmonix Music Systems,MTV Games
Rock Band 2,9.2,Harmonix Music Systems,MTV Games
The Walking Dead: A Telltale Games Series,9.2,Telltale Games,Telltale Games
Dark Souls II,9.1,From Software,Namco Bandai Games
Far Cry 3,9.1,Ubisoft Montreal,Ubisoft
Forza Motorsport 4,9.1,Turn 10,Microsoft Game Studios
Gears of War 3,9.1,Epic Games,Microsoft Game Studios
Halo: Reach,9.1,Bungie,Microsoft Game Studios
Mass Effect,9.1,BioWare,Microsoft Game Studios
Super Street Fighter IV,9.1,Capcom,Capcom
Assassin's Creed II,9.0,Ubisoft Montreal,Ubisoft
Bayonetta,9.0,PlatinumGames,Sega
BioShock 2: Minerva's Den,9.0,2K Marin,2K Games
Dead Space 2,9.0,Visceral Games,Electronic Arts
FIFA Soccer 10,9.0,EA Sports,Electronic Arts
FIFA Soccer 12,9.0,Electronic Arts,Electronic Arts
FIFA Soccer 13,9.0,Electronic Arts,EA Sports
Forza Motorsport 2,9.0,Turn 10,Microsoft Game Studios
Geometry Wars: Retro Evolved 2,9.0,Bizarre Creations,Bizarre Creations
Grand Theft Auto IV: The Lost and Damned,9.0,Rockstar North,Rockstar Games
LIMBO,9.0,PLAYDEAD,PLAYDEAD
Mark of the Ninja,9.0,Klei Entertainment,Microsoft Game Studios
Metal Gear Solid HD Collection,9.0,Bluepoint Games,Konami
NBA 2K12,9.0,Visual Concepts,2K Sports
Rayman Legends,9.0,Ubisoft Montpellier,Ubisoft
Super Meat Boy,9.0,Team Meat,Team Meat
Tom Clancy's Ghost Recon Advanced Warfighter,9.0,Ubisoft Paris,Ubisoft
Trials Evolution,9.0,RedLynx,Microsoft Game Studios
XCOM: Enemy Unknown,9.0,Firaxis Games,2K Games
Assassin's Creed: Brotherhood,8.9,Ubisoft Montreal,Ubisoft
BioShock Infinite: Burial at Sea - Episode Two,8.9,Irrational Games,2K Games
Borderlands 2,8.9,Gearbox Software,2K Games
Burnout Revenge,8.9,Criterion Games,Electronic Arts
Call of Duty 2,8.9,Infinity Ward,Activision
Castlevania: Symphony of the Night,8.9,Digital Eclipse,Konami
Dark Souls,8.9,From Software,Namco Bandai Games
Dark Souls: Artorias of the Abyss,8.9,From Software,Namco Bandai Games
Dead Space (2008),8.9,EA Redwood Shores,Electronic Arts
Deus Ex: Human Revolution,8.9,Eidos Montreal,Square Enix
Fez,8.9,Polytron Corp.,Polytron Corp.
Gears of War 2: All Fronts Collection,8.9,Epic Games,Microsoft Game Studios
Grand Theft Auto IV: The Ballad of Gay Tony,8.9,Rockstar North,Rockstar Games
L.A. Noire,8.9,Team Bondi,Rockstar Games
Left 4 Dead,8.9,Certain Affinity,Electronic Arts
Left 4 Dead 2,8.9,Valve Software,Electronic Arts
NBA 2K11,8.9,Visual Concepts,2K Sports
Peggle,8.9,PopCap,PopCap
Peggle Nights,8.9,PopCap,PopCap
Pinball FX 2: Sorcerer's Lair,8.9,Zen Studios,Zen Studios
Plants vs. Zombies,8.9,PopCap,PopCap
Rez,8.9,HexaDrive,Q Entertainment
The Beatles: Rock Band,8.9,Harmonix Music Systems,MTV Games
The Walking Dead: Episode 5 - No Time Left,8.9,Telltale Games,Telltale Games
Virtua Fighter 5 Online,8.9,Sega AM2,Sega
Battlefield: Bad Company 2,8.8,EA DICE,EA Games
Battlefield: Bad Company 2 Vietnam,8.8,EA DICE,EA Games
BioShock 2,8.8,2K Marin,2K Games
Burnout Paradise,8.8,Criterion Games,Electronic Arts
Call of Duty: Modern Warfare 3,8.8,Infinity Ward,Activision
Dishonored,8.8,Arkane Studios,Bethesda Softworks
FIFA Soccer 11,8.8,EA Sports,Electronic Arts
Joe Danger: Special Edition,8.8,Hello Games,Microsoft Game Studios
Mortal Kombat Komplete Edition,8.8,High Voltage Software,Warner Bros. Interactive Entertainment
NBA 2K13,8.8,Visual Concepts,2K Sports
Need for Speed: Hot Pursuit,8.8,Criterion Games,Electronic Arts
NHL 10,8.8,EA Canada,EA Sports
NHL 11,8.8,Electronic Arts,Electronic Arts
Pinball FX 2,8.8,Zen Studios,Microsoft Game Studios
Project Gotham Racing 3,8.8,Bizarre Creations,Microsoft Game Studios
Sega Vintage Collection: Streets of Rage,8.8,M2,Sega
Star Wars Pinball: Balance of the Force,8.8,Zen Studios,Zen Studios
Super Street Fighter II Turbo HD Remix,8.8,Backbone Entertainment,Capcom
The Secret of Monkey Island: Special Edition,8.8,LucasArts,LucasArts
The Walking Dead: Episode 3 - Long Road Ahead,8.8,Telltale Games,Telltale Games
The Witcher 2: Assassins of Kings,8.8,CD Projekt Red Studio,Warner Bros. Interactive Entertainment
Tom Clancy's Rainbow Six: Vegas,8.8,Ubisoft Montreal,Ubisoft
XCOM: Enemy Within,8.8,Firaxis Games,2K Games
Zeno Clash: Ultimate Edition,8.8,ACE Team,Atlus
After Burner Climax,8.7,Sega AM2,Sega
Beyond Good & Evil HD,8.7,Ubisoft Shanghai,Ubisoft
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.7,Gaijin Games,Gaijin Games
BurgerTime World Tour,8.7,MonkeyPaw Games,MonkeyPaw Games
Call of Duty: Black Ops,8.7,Treyarch,Activision
Diablo III,8.7,Blizzard Entertainment,Blizzard Entertainment
DiRT 2,8.7,Codemasters,Codemasters
DiRT 3,8.7,Codemasters,Codemasters
Fallout: New Vegas,8.7,Obsidian Entertainment,Bethesda Softworks
Forza Horizon,8.7,Playground Games,Microsoft Game Studios
GRID (2008),8.7,Codemasters,Codemasters
Halo 4,8.7,343 Industries,Microsoft Game Studios
Ikaruga,8.7,Treasure,Atari SA
Mass Effect 2: Lair of the Shadow Broker,8.7,BioWare,Electronic Arts
NBA 2K14,8.7,Visual Concepts,2K Sports
Pinball FX 2: Star Wars Pinball,8.7,Zen Studios,Microsoft Game Studios
Puzzle Quest: Challenge of the Warlords,8.7,1st Playable Productions,D3Publisher
Rayman Origins,8.7,UBlart Montpellier,Ubisoft
Red Dead Redemption: Undead Nightmare Pack,8.7,Rockstar San Diego,Rockstar Games
Rocksmith 2014 Edition,8.7,Ubisoft,Ubisoft
Sonic the Hedgehog 3,8.7,Backbone Entertainment,Sega
Spelunky,8.7,Mossmouth,Microsoft Game Studios
Streets of Rage 2,8.7,M2,Sega
Assassin's Creed IV: Black Flag,8.6,Ubisoft,Ubisoft
Bastion,8.6,Supergiant Games,Warner Bros. Interactive Entertainment
BioShock Infinite: Burial at Sea - Episode One,8.6,Irrational Games,2K Games
BlazBlue: Calamity Trigger,8.6,Arc System Works,Aksys Games
Borderlands 2: Tiny Tina's Assault on Dragon Keep,8.6,Gearbox Software,2K Games
Brothers: A Tale of Two Sons,8.6,Starbreeze,505 Games
Dance Central 2,8.6,Harmonix Music Systems,Microsoft Game Studios
Dance Central 3,8.6,Harmonix Music Systems,Microsoft Game Studios
Dishonored: The Brigmore Witches,8.6,Arkane Studios,Bethesda Softworks
DJ Hero 2,8.6,FreeStyleGames,Activision
DmC: Devil May Cry,8.6,Ninja Theory,Capcom
DoDonPachi Resurrection,8.6,Cave,Cave
DOOM (1993),8.6,Nerve Software,Activision
Dragon Age: Origins,8.6,BioWare,Electronic Arts
Fight Night Champion,8.6,EA Canada,EA Sports
Fight Night Round 3,8.6,EA Chicago,EA Sports
Geometry Wars: Retro Evolved,8.6,Bizarre Creations,Bizarre Creations
Hitman: Blood Money,8.6,Io Interactive,Eidos Interactive
Max Payne 3,8.6,Rockstar Games,Rockstar Games
Mortal Kombat (2011),8.6,NetherRealm Studios,Warner Bros. Interactive Entertainment
NCAA Football 11,8.6,EA Tiburon,Electronic Arts
NHL 12,8.6,Electronic Arts,Electronic Arts
Pinball FX 2: Marvel Pinball,8.6,Zen Studios,Zen Studios
Radiant Silvergun,8.6,Treasure,Microsoft Game Studios
Skate,8.6,EA Black Box,EA Games
Sonic & Knuckles,8.6,Sonic Team,Sega
Street Fighter III: 3rd Strike - Fight for the Future,8.6,Iron Galaxy Studios,Capcom
The Elder Scrolls IV: Knights of the Nine,8.6,Bethesda Softworks,Bethesda Softworks
The Elder Scrolls IV: Shivering Isles,8.6,Bethesda Softworks,Bethesda Softworks
The Lord of the Rings: The Battle for Middle-Earth II,8.6,EA LA,EA Games
Tom Clancy's Ghost Recon Advanced Warfighter 2,8.6,Red Storm Entertainment,Ubisoft
Tomb Raider,8.6,Crystal Dynamics,Square Enix
Trials HD,8.6,RedLynx,Microsoft Game Studios
BattleBlock Theater,8.5,The Behemoth,Microsoft Game Studios
Bionic Commando: Rearmed,8.5,GRIN,Capcom
Birds of Steel,8.5,Gaijin Entertainment,Konami
BlazBlue: Continuum Shift,8.5,Arc System Works,Aksys Games
Blitz: The League II,8.5,Midway,Midway
Borderlands: The Secret Armory of General Knoxx,8.5,Gearbox Software,2K Games
Call of Duty: Modern Warfare 3 - Collection 1,8.5,Infinity Ward,Activision
Castle Crashers,8.5,The Behemoth,The Behemoth
Dead or Alive 4,8.5,Team Ninja,Tecmo
Dead Rising,8.5,Capcom,Capcom
Devil May Cry 4,8.5,Capcom,Capcom
Devil May Cry HD Collection,8.5,"Pipeworks Software, Inc.",Capcom
F.E.A.R.,8.5,Monolith Productions,VU Games
Far Cry 2,8.5,Ubisoft Montreal,Ubisoft
Gears of War 3: Forces of Nature Map Pack,8.5,Epic Games,Microsoft Game Studios
Guitar Hero 5,8.5,Neversoft Entertainment,Activision
Guitar Hero III: Legends of Rock,8.5,Neversoft Entertainment,RedOctane
Guitar Hero World Tour (2008),8.5,Neversoft Entertainment,Activision
Lara Croft and the Guardian of Light,8.5,Crystal Dynamics,Square Enix
Madden NFL 08,8.5,EA Tiburon,EA Sports
Madden NFL 10,8.5,EA Tiburon,Electronic Arts
Marvel vs. Capcom 2,8.5,Backbone Entertainment,Capcom
Marvel vs. Capcom 3: Fate of Two Worlds,8.5,Capcom,Capcom
Monkey Island 2 Special Edition: LeChuck's Revenge,8.5,LucasArts,LucasArts
NBA JAM: On Fire Edition,8.5,EA Sports,Electronic Arts
NHL 08,8.5,EA Canada,Electronic Arts
NIER,8.5,Cavia Inc.,Square Enix
Persona 4 Arena Ultimax,8.5,Arc System Works,Atlus
Pid,8.5,Might and Delight,D3Publisher
Project Gotham Racing 4,8.5,Bizarre Creations,Microsoft Game Studios
Pure,8.5,Black Rock Studio,Disney Interactive Studios
