title,score,developer,publisher
Disney's Atlantis: The Lost Empire (2001),7.8,Eurocom,SCEA
Looney Tunes Racing,7.8,Circus Freak,Infogrames
Bust A Groove 2,7.7,Metro,Enix Corporation
Disney/Pixar Buzz Lightyear of Star Command,7.7,Traveller's Tales,Activision
Grand Theft Auto 2,7.6,DMA Design,Rockstar Games
MLB 2002,7.6,989 Sports,SCEA
Star Trek: Invasion,7.6,Warthog,Activision
World's Scariest Police Chases,7.6,Unique Development Studios,Activision
Chicken Run,7.5,Blitz Games,Eidos Interactive
Disney's Donald Duck: Goin' Quackers,7.5,Disney Interactive Studios,Ubisoft
X-Men: Mutant Academy,7.5,Paradox Development,Activision
Army Men: Air Attack 2,7.4,3DO,3DO
Darkstone,7.4,Delphine Software International,Take-Two Interactive
Driver 2,7.4,Reflections Interactive,Infogrames
Harry Potter and the Sorcerer's Stone,7.3,Warthog,EA Games
Destruction Derby Raw,7.2,Studio 33,Midway
"Monsters, Inc. Scream Team",7.2,Artificial Mind and Movement,SCEA
Star Wars: Demolition,7.2,"Luxoflux, Inc.",LucasArts
007: The World is not Enough,7.1,Eurocom,Electronic Arts
Need for Speed II,7.1,EA Canada,Electronic Arts
Time Crisis: Project Titan,7.1,Flying Tiger Development,Namco
Alien Resurrection,7.0,Argonaut Games,Fox Interactive
Castlevania Chronicles,7.0,Konami,Konami
Delta Force: Urban Warfare,7.0,Rebellion,NovaLogic
Disney's Aladdin in Nasira's Revenge,7.0,Argonaut Games,SCEA
Martian Gothic: Unification,7.0,Creative Reality,Take-Two Interactive
Thunder Force V,7.0,TechnoSoft,Working Designs
Inuyasha: A Feudal Fairy Tale,6.9,Dimps Corporation,Bandai
Mega Man X6,6.9,Capcom,Capcom
The Mummy,6.9,Rebellion,Konami
Army Men: World War,6.8,3DO,3DO
Disney's The Lion King: Simba's Mighty Adventure,6.8,Paradox Development,Activision
Dave Mirra Freestyle BMX: Maximum Remix,6.7,"Z-Axis, Ltd.",Acclaim
Disney's Lilo & Stitch,6.7,Blitz Games,SCEA
Disney's Treasure Planet,6.6,Bizarre Creations,Disney Interactive
Twisted Metal: Small Brawl,6.5,Incognito Inc.,SCEA
Duke Nukem: Land of the Babes,6.3,n-Space,Infogrames
Evil Dead: Hail to the King,6.3,Heavy Iron Studios,THQ
Tomb Raider: Chronicles,6.3,Core Design Ltd.,Eidos Interactive
Army Men: Sarge's Heroes 2,6.2,3DO,3DO
Countdown Vampires,6.2,K2 LLC,Bandai
Hoshigami: Ruining Blue Earth,6.2,Max Five,Atlus
NFL GameDay 2002,6.2,Red Zone Entertainment,SCEA
Rayman Rush,6.2,Ubisoft Shanghai,Ubisoft
Resident Evil: Survivor,6.2,TOSE,Capcom
Spec Ops: Ranger Elite,6.1,Runecraft,Take-Two Interactive
Peter Pan in Disney's Return to Neverland,5.9,Doki Denki,SCEA
Clock Tower II: The Struggle Within,5.8,Human Entertainment,Agetec
Cool Boarders 2001,5.6,Idol Minds,SCEA
The Grinch,5.5,Artificial Mind and Movement,Konami
The Simpsons Wrestling,5.3,Big Ape Productions,Activision
