title,score,developer,publisher
Professor Layton and the Miracle Mask,8.2,Level 5,Nintendo
Professor Layton VS Phoenix Wright Ace Attorney,8.2,Level 5,Nintendo
Skylanders: Spyro's Adventure,8.2,Toys for Bob,Activision
SteamWorld Dig,8.2,Image & Form,Image & Form
WarioWare Gold,8.2,Nintendo,Nintendo
3D After Burner II,8.1,M2,Sega
Art Academy: Lessons for Everyone,8.1,Nintendo,Nintendo
Azure Striker Gunvolt,8.1,Inti Creates,Inti Creates
BOXBOY!,8.1,HAL Labs,Nintendo
Dead or Alive Dimensions,8.1,Team Ninja,Tecmo Koei Games
The Denpa Men 3: The Rise of Digitoll,8.1,Genius Sonority Inc.,Genius Sonority Inc.
Etrian Odyssey Nexus,8.1,Atlus,Atlus
Etrian Odyssey V: Beyond the Myth,8.1,Atlus,Atlus
Ever Oasis,8.1,GREZZO,Nintendo
Mario Golf: World Tour,8.1,Camelot Software Planning,Nintendo
Persona Q2: New Cinema Labyrinth,8.1,Atlus,Atlus
Phoenix Wright: Ace Attorney - Dual Destinies,8.1,Capcom,Capcom
Phoenix Wright: Ace Attorney - Spirit of Justice,8.1,Capcom,Capcom
Rhythm Thief & the Emperor's Treasure,8.1,Xeen,Sega
Rune Factory 4,8.1,Neverland,XSEED Games
Siesta Fiesta,8.1,Mojo Bones,Mojo Bones
Yo-kai Watch,8.1,Level 5,Nintendo
Yo-kai Watch 2: Bony Spirits,8.1,Level 5,Nintendo
Yo-kai Watch 2: Fleshy Souls,8.1,Level 5,Nintendo
BoxBoxBoy!,8.0,HAL Labs,Nintendo
Cooking Mama 5: Bon Appetit!,8.0,Cooking Mama Limited,Majesco
Crimson Shroud,8.0,Nex Entertainment,Level 5
Galaxy Force II,8.0,M2,Sega
Gunman Clive 2,8.0,Horberg Productions,Horberg Productions
Mutant Mudds,8.0,Renegade Kid,Renegade Kid
Shin Megami Tensei: Strange Journey Redux,8.0,Atlus,Atlus
Style Savvy: Styling Star,8.0,syn Sophia,Nintendo
7th Dragon III Code: VFD,7.9,Sega,Sega
Bit.Trip Complete / THE BIT.TRIP,7.9,Gaijin Games,Aksys Games
Captain Toad: Treasure Tracker,7.9,Nintendo EAD Tokyo ,Nintendo
Dragon Ball: Fusions,7.9,Ganbarion,Bandai Namco Games
Etrian Mystery Dungeon,7.9,Spike Chunsoft,Atlus
Fantasy Zone,7.9,M2,Sega
Gurumin: A Monstrous Adventure,7.9,Falcom,Mastiff
Kirby's Adventure,7.9,Arika,Nintendo
Kirby's Extra Epic Yarn,7.9,Good-Feel,Nintendo
Mighty Switch Force!,7.9,WayForward,WayForward
Miitopia,7.9,GREZZO,Nintendo
Nintendo Pocket Football Club,7.9,ParityBit,Nintendo
Tom Clancy's Ghost Recon: Shadow Wars,7.9,Ubisoft,Ubisoft
ZEN Pinball 3D,7.9,Zen Studios,Zen Studios
Azure Striker Gunvolt 2,7.8,Inti Creates,Inti Creates
Code Name: S.T.E.A.M.,7.8,Intelligent Systems,Nintendo
Corpse Party,7.8,Team GrisGris,XSEED Games
Fire Emblem Warriors,7.8,Omega Force,Nintendo
Fluidity: Spin Cycle,7.8,Curve Studios,Nintendo
Hakuoki: Memories of the Shinsengumi,7.8,Idea Factory,Aksys Games
Harvest Moon 3D: A New Beginning,7.8,Marvelous AQL,Natsume
Mario and Donkey Kong: Minis on the Move,7.8,Nintendo,Nintendo
Marvel Pinball 3D,7.8,Zen Studios,Zen Studios
Metal Gear Solid 3: Snake Eater,7.8,KCEJ,Konami
New Super Mario Bros. 2,7.8,Nintendo,Nintendo
NightSky,7.8,Nicalis,Nicalis
Scribblenauts Unlimited,7.8,5TH Cell,Warner Bros. Interactive Entertainment
Shin Megami Tensei: Devil Survivor Overclocked,7.8,Atlus,Atlus
Story of Seasons: Trio of Towns,7.8,Marvelous Inc.,XSEED Games
Style Savvy: Fashion Forward,7.8,syn Sophia,Nintendo
The Alliance Alive,7.8,Cattle Call,Atlus
The Binding of Isaac: Rebirth,7.8,Nicalis,Nicalis
The Denpa Men: They Came By Wave,7.8,Genius Sonority Inc.,Genius Sonority Inc.
Tomodachi Life,7.8,Nintendo,Nintendo
Yoshi's Woolly World,7.8,Good-Feel,Nintendo
Apollo Justice: Ace Attorney,7.7,Capcom,Capcom
Attack of the Friday Monsters! A Tokyo Tale,7.7,Millennium Kitchen,Level 5
Conception II: Children of the Seven Stars,7.7,Spike Chunsoft,Atlus
Dillon's Dead-Heat Breakers,7.7,Vanpool,Nintendo
"Freakyforms: Your Creations, Alive!",7.7,Asobism,Nintendo
Fun! Fun! Minigolf TOUCH!,7.7,Shin'en,Shin'en
Inazuma Eleven Go: Light,7.7,Level 5,Level 5
Kid Icarus,7.7,Arika,Nintendo
Kokuga,7.7,G.Rev,G.Rev
KORG M01D,7.7,Procyon Studio,DETUNE
Liberation Maiden,7.7,Grasshopper Manufacture,Level 5
Mega Man Legacy Collection,7.7,Digital Eclipse,Capcom
Rusty's Real Deal Baseball,7.7,Nintendo,Nintendo
Samurai Warriors Chronicles,7.7,Omega Force,Koei Tecmo Games
Sega 3D Classics Collection,7.7,M2,Sega
Style Savvy: Trendsetters,7.7,syn Sophia,Nintendo
Super Little Acorns 3D Turbo,7.7,Pixel Toys,Pixel Toys
Tappingo 2,7.7,Goodbye Galaxy Games,Goodbye Galaxy Games
The Keep,7.7,Cinemax,Cinemax
Unchained Blades,7.7,FuRyu,XSEED Games
Chibi-Robo! Photo Finder,7.6,Skip Ltd.,Nintendo
Culdcept Revolt,7.6,Omiya Soft,NIS America
Dillon's Rolling Western,7.6,Vanpool,Nintendo
Mario & Luigi: Paper Jam,7.6,Alphadream Corporation,Nintendo
Mercenaries Saga 2: Order Of The Silver Eagle,7.6,RideonJapan,CIRCLE Entertainment
Nano Assault,7.6,Shin'en,Majesco
Nano Assault EX,7.6,Shin'en,Majesco
Pokemon Art Academy,7.6,Headstrong Games,Nintendo
Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,7.6,GungHo,Nintendo
Steel Diver: Sub Wars,7.6,Nintendo,Nintendo
Super Hang-On,7.6,M2,Sega
The Denpa Men 2: Beyond The Waves,7.6,Genius Sonority Inc.,Genius Sonority Inc.
Toki Tori,7.6,Two Tribes,Two Tribes
Yumi's Odd Odyssey,7.6,Studio Saizensen,Natsume
Cooking Mama 4: Kitchen Magic,7.5,Cooking Mama Limited,Majesco
Disney Magical World,7.5,h.a.n.d. Inc.,Nintendo
Fractured Soul,7.5,Endgame Studios,Endgame Studios
Hyrule Warriors,7.5,Omega Force,Nintendo
Inazuma Eleven Go: Shadow,7.5,Level 5,Level 5
LBX: Little Battlers eXperience,7.5,Level 5,Nintendo
Lord of Magna: Maiden Heaven,7.5,Marvelous Inc.,XSEED Games
Nintendogs + Cats: Toy Poodle & New Friends,7.5,Nintendo,Nintendo
One Piece: Unlimited World Red,7.5,Ganbarion,Bandai Namco Games
Paper Mario: Sticker Star,7.5,Intelligent Systems,Nintendo
Weapon Shop de Omasse,7.5,Nex Entertainment,Level 5
Ridge Racer 3D,7.5,Xeen,Namco Bandai Games
Urban Trial Freestyle,7.5,Tate Multimedia,Tate Multimedia
Ace Combat: Assault Horizon Legacy,7.4,Project Aces ,Namco Bandai Games
Code of Princess,7.4,Studio Saizensen,Atlus
Crush (2007),7.4,Zoe Mode,Sega
Detective Pikachu,7.4,Creatures Inc.,Nintendo
HarmoKnight,7.4,Game Freak,Nintendo
Picross e,7.4,Jupiter Corporation,Jupiter Corporation
