title,score,developer,publisher,rom_name,size
Soldier of Fortune,7.9,Runecraft,Crave,Soldier of Fortune (USA) (Track 6).bin,1088745504
Tokyo Xtreme Racer 2,7.9,Genki,Crave,Tokyo Xtreme Racer 2 (USA) (Track 3).bin,1185760800
Mars Matrix,7.8,Takumi Corporation,Capcom,Mars Matrix (USA) (Track 3).bin,1185760800
NFL Blitz 2001,7.8,Avalanche Software,Midway,NFL Blitz 2001 (USA) (Track 5).bin,545798064
Spawn: In the Demon's Hand,7.8,Capcom,Capcom,Spawn - In the Demon's Hand (USA) (Track 3).bin,1185760800
The Last Blade 2,7.8,SNK,Agetec,Ghost Blade (Europe) (Unl) (Limited Edition) (Track 12).bin,535938480
Alone in the Dark: The New Nightmare,7.7,Spiral House,Infogrames,Alone in the Dark - The New Nightmare (USA) (Disc 2) (Track 5).bin,1150057440
Max Steel: Covert Missions,7.6,Treyarch,Mattel,Max Steel - Covert Missions (USA) (Track 5).bin,835630320
Sega Bass Fishing 2,7.6,Wow Entertainment,Sega,Sega Bass Fishing 2 (USA) (Track 3).bin,1185760800
Sega Smash Pack Volume 1,7.6,Sega,Sega,Sega Smash Pack - Volume 1 (USA) (Track 03).bin,659385552
Speed Devils Online Racing,7.6,Ubisoft Montreal,Ubisoft,Speed Devils - Online Racing (USA) (Track 13).bin,452393088
Gauntlet Legends,7.5,Midway,Midway,Gauntlet Legends (USA) (Track 5).bin,696634176
4x4 Evolution,7.4,Terminal Reality,Gathering,4x4 Evo (USA) (Track 03).bin,768718272
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,7.4,Traveller's Tales,Activision,Disney-Pixar Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Track 3).bin,1185760800
Dave Mirra Freestyle BMX,7.3,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX (USA) (Track 03).bin,637145040
Sonic Shuffle,7.1,Sega,Sega,Sonic Shuffle (USA) (Track 3).bin,1185760800
Disney's 102 Dalmatians: Puppies to the Rescue,7.0,Crystal Dynamics,Eidos Interactive,Disney's 102 Dalmatians - Puppies to the Rescue (USA) (Track 5).bin,662852400
Star Wars: Demolition,6.7,"Luxoflux, Inc.",LucasArts,Star Wars - Demolition (USA) (Track 15).bin,409003392
Stupid Invaders,6.4,Xilam,Ubisoft,Stupid Invaders (USA) (Disc 2) (Track 3).bin,1185760800
KAO the Kangaroo (2000),6.3,X-Ray Interactive,Titus Software,"Kao the Kangaroo (USA) (En,Es) (Track 03).bin",391452768
ESPN NBA 2Night,2.9,Konami,Konami,ESPN NBA 2Night (USA) (Track 5).bin,598304112
