title,score,developer,publisher,rom_name,size,running_total
Nickelodeon Barnyard,8.5,Blue Tongue Entertainment,THQ,Nickelodeon Barnyard (USA).iso,1.9 GiB,770.9 GiB
Onimusha: Dawn of Dreams,8.5,Capcom,Capcom,Onimusha - Dawn of Dreams (USA) (Disc 2).iso,8.7 GiB,779.6 GiB
OutRun 2006: Coast 2 Coast,8.5,Sumo Digital,Sega,"OutRun 2006 - Coast 2 Coast (USA) (En,Fr,Es).iso",1.7 GiB,781.3 GiB
Prince of Persia: The Two Thrones,8.5,Ubisoft,Ubisoft,"Prince of Persia - The Two Thrones (USA) (En,Fr,Es).iso",4.3 GiB,785.7 GiB
Resident Evil Code: Veronica X,8.5,Capcom,Capcom,Resident Evil - Code - Veronica X (USA).iso,1.8 GiB,787.4 GiB
Ring of Red,8.5,Konami,Konami,Ring of Red (USA).bin,555.7 MiB,788.0 GiB
Rumble Racing,8.5,Electronic Arts,Electronic Arts,"Rumble Racing (Europe) (En,Fr,De).bin",665.6 MiB,788.6 GiB
Shinobi (2002),8.5,Overworks,Sega,Shinobi (USA).iso,1.2 GiB,789.8 GiB
Sonic Riders: Zero Gravity,8.5,Sonic Team,Sega,"Sonic Riders - Zero Gravity (USA) (En,Ja,Fr,De,Es,It).iso",4.4 GiB,794.2 GiB
Spider-Man 2,8.5,Treyarch,Activision,Spider-Man 2 (USA).iso,3.9 GiB,798.0 GiB
Star Wars: Jedi Starfighter,8.5,LucasArts,LucasArts,Star Wars - Jedi Starfighter (USA) (Trade Demo).iso,129.4 MiB,798.2 GiB
Suikoden V,8.5,Konami,Konami,Suikoden V (USA).iso,4.2 GiB,802.4 GiB
Tekken Tag Tournament,8.5,Namco,Namco,Tekken Tag Tournament (USA) (v2.00).bin,694.4 MiB,803.0 GiB
The King of Fighters XI,8.5,SNK Playmore,SNK Playmore,"King of Fighters XI, The (USA, Canada).iso",2.3 GiB,805.3 GiB
The Warriors,8.5,Rockstar Toronto,Rockstar Games,"Warriors, The (USA) (En,Fr,De,Es,It).iso",4.0 GiB,809.3 GiB
Tony Hawk's Underground 2 Remix,8.5,Neversoft Entertainment,Activision,Tony Hawk's Underground 2 (USA).iso,3.1 GiB,812.5 GiB
Transformers (2004),8.5,Melbourne House,Atari SA,Transformers (USA).iso,2.7 GiB,815.2 GiB
TY the Tasmanian Tiger,8.5,Krome Studios,EA Games,"TY the Tasmanian Tiger (USA) (En,Fr,De,Es).iso",4.1 GiB,819.2 GiB
