title,score,developer,publisher,rom_name,size
Pokemon Stadium 2,8.2,HAL Labs,Nintendo,Pokemon Stadium 2 (USA).z64,67108864
Ridge Racer 64,8.2,Nintendo Software Technology,Nintendo,Road Rash 64 (USA) (Beta 2).v64,33554432
007: The World is not Enough,8.1,Eurocom,Electronic Arts,007 - The World Is Not Enough (USA) (v21) (Beta).v64,33554432
Body Harvest,8.1,DMA Design,Midway,Body Harvest (USA).z64,12582912
Mario Party,8.0,Hudson,Nintendo,Mario Party 3 (USA) (LodgeNet).v64,33554432
Pilotwings 64,8.0,Nintendo,Nintendo,Pilotwings 64 (USA) (LodgeNet).v64,8388608
StarCraft 64,8.0,Mass Media,Nintendo,StarCraft 64 (Germany) (Proto).z64,33554432
Castlevania (1998),7.8,KCEK,Konami,Castlevania (USA) (Rev 1).z64,12582912
Turok 3: Shadow of Oblivion (2000),7.7,Acclaim Studios Austin,Acclaim,Turok 3 - Shadow of Oblivion (USA) (Beta) (2000-07-18).v64,33554432
Duke Nukem 3D,7.6,3D Realms,3D Realms,Duke Nukem 64 (USA).z64,8388608
Spider-Man (2000),7.6,Neversoft Entertainment,Activision,Spider-Man (USA).z64,33554432
Forsaken (1998),7.5,Iguana Entertainment,Acclaim,Forsaken 64 (USA).z64,8388608
Mickey's Speedway USA,7.5,Rare Ltd.,Nintendo,"Mickey's Speedway USA (Europe) (En,Fr,De,Es,It).z64",33554432
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,7.4,Traveller's Tales,Activision,Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Rev 1).z64,12582912
Quake,7.4,id Software,id Software,Quake (Europe).z64,12582912
Hercules: The Legendary Journeys,7.3,Player 1,Titus Software,Hercules - The Legendary Journeys (USA) (Beta 2).v64,16777216
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco,Ms. Pac-Man - Maze Madness (USA).z64,12582912
Aidyn Chronicles: The First Mage,7.2,H2O Interactive,THQ,Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05).v64,33554432
Mega Man Legends,7.2,Capcom,Capcom,Gauntlet Legends (USA) (LodgeNet).v64,16777216
NFL Blitz 2001,7.2,Avalanche Software,Midway,NFL Blitz 2001 (USA).z64,16777216
Yoshi's Story,7.2,Nintendo,Nintendo,"Yoshi's Story (USA) (En,Ja) (LodgeNet).v64",16777216
Dr. Mario 64,7.1,Newcom,Nintendo,Dr. Mario 64 (USA) (LodgeNet).v64,4194304
Mission: Impossible (1998),6.6,Infogrames,Ocean,Mission - Impossible (USA).z64,12582912
Army Men: Sarge's Heroes 2,6.5,3DO,3DO,Army Men - Sarge's Heroes 2 (USA).z64,8388608
Disney's Donald Duck: Goin' Quackers,6.5,Disney Interactive Studios,Ubisoft,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It).v64",33554432
Ready 2 Rumble Boxing: Round 2,6.4,Midway,Midway,Ready 2 Rumble Boxing (USA) (LodgeNet).v64,33248096
Rugrats in Paris: The Movie,6.4,Avalanche Software,THQ,Rugrats in Paris - The Movie (USA).z64,16777216
Cruis'n  Exotica,6.3,Gratuitous Games,Midway,Cruis'n Exotica (USA).z64,16777216
"Hey You, Pikachu!",5.7,Ambrella,Nintendo,"Hey You, Pikachu! (USA).z64",16777216
Blues Brothers 2000,3.7,Player 1,Titus Software,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#53).v64",33554432
Batman Beyond: Return of the Joker,3.4,Kemco,Ubisoft,Batman Beyond - Return of the Joker (USA).z64,4194304
Saban's Power Rangers: Lightspeed Rescue,2.5,Mass Media,THQ,Power Rangers - Lightspeed Rescue (USA).z64,12582912
