title,score,developer,publisher,rom_name,size
Oddworld: Stranger's Wrath,8.8,Oddworld Inhabitants,EA Games,Oddworld - Stranger's Wrath (USA).iso,7825162240
Psychonauts,8.8,Double Fine Productions,Majesco,Psychonauts (USA).iso,7825162240
Star Wars: Battlefront II (2005),8.8,Pandemic Studios,LucasArts,"Star Wars - Battlefront II (USA) (En,Es,It) (Rev 1).iso",7825162240
Star Wars: Knights of the Old Republic II - The Sith Lords,8.8,Obsidian Entertainment,LucasArts,Star Wars - Knights of the Old Republic II - The Sith Lords (USA).iso,7825162240
The Elder Scrolls III: Morrowind - Game of the Year Edition,8.8,Bethesda Softworks,Bethesda Softworks,"Elder Scrolls III, The - Morrowind - Game of the Year Edition (USA).iso",7825162240
Tiger Woods PGA Tour 2005,8.8,EA Sports,EA Sports,Tiger Woods PGA Tour 2005 (USA).iso,7825162240
TimeSplitters 2,8.8,Free Radical Design,Eidos Interactive,TimeSplitters 2 (USA).iso,7825162240
Ultimate Spider-Man,8.8,Treyarch,Activision,Ultimate Spider-Man (USA).iso,7825162240
Beyond Good & Evil,8.7,Ubisoft Montpellier,Ubisoft,"Beyond Good & Evil (USA) (En,Fr,Es).iso",7825162240
Dead or Alive 3,8.7,Team Ninja,Tecmo,"Dead or Alive 3 (USA) (En,Ja).iso",7825162240
Genma Onimusha,8.7,Capcom,Capcom,"Genma Onimusha (USA) (En,Ja).iso",7825162240
MechAssault,8.7,Day 1 Studios,Microsoft Game Studios,"MechAssault (USA, Europe) (En,Fr,De).iso",7825162240
Metal Gear Solid 2: Substance,8.7,KCEJ,Konami,Metal Gear Solid 2 - Substance (USA).iso,7825162240
Midnight Club 3: DUB Edition Remix,8.7,Rockstar San Diego,Rockstar Games,Midnight Club 3 - DUB Edition Remix (USA).iso,7825162240
MotoGP 2,8.7,Climax Studios,THQ,"MotoGP 2 (USA) (En,Fr,De,Es,It).iso",7825162240
NCAA Football 06,8.7,EA Sports,EA Sports,NCAA Football 2005 (USA).iso,7825162240
NFL 2K2,8.7,Visual Concepts,Sega,NFL 2K2 (USA).iso,7825162240
RalliSport Challenge,8.7,Digital Illusions,Microsoft Game Studios,RalliSport Challenge (USA) (Rev 1).iso,7825162240
RalliSport Challenge 2,8.7,Digital Illusions,Microsoft Game Studios,"RalliSport Challenge 2 (World) (En,Ja,Fr,De,Es,It).iso",7825162240
The Elder Scrolls III: Morrowind,8.7,Bethesda Softworks,Bethesda Softworks,"Elder Scrolls III, The - Morrowind (USA).iso",7825162240
The Simpsons: Hit & Run,8.7,Radical Entertainment,VU Games,"Simpsons, The - Hit & Run (USA, Japan).iso",7825162240
Colin McRae Rally 3,8.6,Codemasters,Codemasters,Colin McRae Rally 3 (USA).iso,7825162240
Dead or Alive: Xtreme Beach Volleyball,8.6,Team Ninja,Tecmo,"Dead or Alive Xtreme Beach Volleyball (USA) (En,Ja).iso",7825162240
DOOM 3: Resurrection of Evil,8.6,Nerve Software,Activision,"Doom 3 - Resurrection of Evil (USA, Europe) (En,Fr,Es,It).iso",7825162240
ESPN College Hoops 2K5,8.6,Visual Concepts,Sega,ESPN College Hoops 2K5 (USA).iso,7825162240
Fatal Frame: Special Edition,8.6,Tecmo,Tecmo,Fatal Frame - Zero Special Edition (Japan).iso,7825162240
Guilty Gear X2 #Reload,8.6,Arc System Works,Majesco,Guilty Gear X2 Reload - The Midnight Carnival (USA).iso,7825162240
Kung Fu Chaos,8.6,Just Add Monsters,Microsoft Game Studios,"Kung Fu Chaos (USA, Asia) (En,Fr,De).iso",7825162240
Mercenaries: Playground of Destruction,8.6,Pandemic Studios,LucasArts,,
Midnight Club II,8.6,Rockstar San Diego,Rockstar Games,Midnight Club II (USA).iso,7825162240
NASCAR SimRacing,8.6,EA Tiburon,EA Games,,
Sonic Mega Collection Plus,8.6,Sonic Team,Sega,"Sonic Mega Collection Plus (World) (En,Ja).iso",7825162240
Test Drive,8.6,Pitbull Syndicate,Infogrames,Test Drive (USA).iso,7825162240
Tom Clancy's Rainbow Six 3,8.6,Ubisoft,Ubisoft,"Tom Clancy's Rainbow Six 3 (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Brothers in Arms: Earned in Blood,8.5,Gearbox Software,Ubisoft,"Brothers in Arms - Earned in Blood (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Crash Twinsanity,8.5,Traveller's Tales Oxford Studio,VU Games,"Crash Twinsanity (USA, Asia).iso",7825162240
ESPN NBA 2K5,8.5,Visual Concepts,Sega,ESPN NHL 2K5 (USA).iso,7825162240
Fable (2004),8.5,Big Blue Box,Microsoft Game Studios,,
Fable: The Lost Chapters,8.5,Lionhead Studios,Microsoft Game Studios,"Fable - The Lost Chapters (USA) (En,Es).iso",7825162240
Far Cry,8.5,Crytek,Ubisoft,,
FIFA 07 Soccer,8.5,EA Sports,EA Sports,FIFA Soccer 2005 (USA).iso,7825162240
Fight Night 2004,8.5,EA Sports,EA Sports,Fight Night 2004 (USA).iso,7825162240
Indiana Jones and the Emperor's Tomb,8.5,The Collective,LucasArts,Indiana Jones and the Emperor's Tomb (USA).iso,7825162240
Lego Star Wars II: The Original Trilogy,8.5,Traveller's Tales,LucasArts,"LEGO Star Wars II - The Original Trilogy (USA, Europe) (En,Fr,De,Es,It,Da).iso",7825162240
Midnight Club 3: DUB Edition,8.5,Rockstar San Diego,Rockstar Games,Midnight Club 3 - DUB Edition Remix (USA).iso,7825162240
Mortal Kombat: Armageddon,8.5,Midway,Midway,Mortal Kombat - Armageddon (USA).iso,7825162240
NASCAR Thunder 2004,8.5,EA Tiburon,Electronic Arts,NASCAR Thunder 2004 (USA).iso,7825162240
