title,score,developer,publisher,rom_name,size
X-Scape,8.2,Q-Games,Nintendo,X-Scape (USA).nds,16290816
WarioWare D.I.Y.,8.2,Intelligent Systems,Nintendo,WarioWare - D.I.Y. (USA) (Video).nds,1985224
Viva Pinata: Pocket Paradise,8.2,Rare Ltd.,THQ,Viva Pinata - Pocket Paradise (USA) (Beta).nds,134217728
Space Invaders Extreme 2,8.2,Taito Corporation,Square Enix,"Space Invaders Extreme 2 (USA) (En,Ja,Fr,De,Es,It).nds",67108864
Sonic Rush,8.2,Dimps Corporation,Sega,"Sonic Rush (USA, Europe) (Multiplayer) (DS Broadcast).bcn",856
Okamiden,8.2,Capcom,Capcom,Okamiden (USA).nds,134217728
"Nine Hours, Nine Persons, Nine Doors",8.2,ChunSoft,Aksys Games,"Nine Hours, Nine Persons, Nine Doors (USA).nds",134217728
Mario vs. Donkey Kong: Minis March Again!,8.2,Nintendo,Nintendo,Mario vs. Donkey Kong - Minis March Again! (USA) (Rev 1).nds,14730240
Lunar Knights,8.2,Kojima Productions,Konami,Lunar Knights (USA) (Video).nds,2432712
KORG DS-10 Synthesizer,8.2,AQ Interactive,XSEED Games,Korg DS-10+ Synthesizer (USA) (NDSi Enhanced).nds,33554432
Henry Hatsworth in the Puzzling Adventure,8.2,EA Tiburon,Electronic Arts,Henry Hatsworth in the Puzzling Adventure (USA) (Rev 1) (Video).nds,2395848
Etrian Odyssey II: Heroes of Lagaard,8.2,Atlus,Atlus,Etrian Odyssey II - Heroes of Lagaard (USA).nds,33554432
Yoshi's Island DS,8.1,Artoon,Nintendo,Yoshi's Island DS (USA) (Rev 1) (Wii U Virtual Console).nds,33554432
WarioWare: Touched!,8.1,Intelligent Systems,Nintendo,WarioWare - Touched! (USA) (Wii U Virtual Console).nds,33554432
Trauma Center: Under the Knife,8.1,ITL,Atlus,Trauma Center - Under the Knife 2 (USA).nds,67108864
Super Scribblenauts,8.1,5TH Cell,Warner Bros. Interactive Entertainment,"Super Scribblenauts (USA) (En,Fr,Es,Pt).nds",33554432
Pop Island: Paperfield,8.1,odenis studio,odenis studio,,
Personal Trainer: Cooking,8.1,indieszero,Nintendo,"Personal Trainer - Walking (USA) (En,Fr,Es).nds",67108864
Mighty Milky Way,8.1,WayForward,WayForward,,
KORG DS-10 PLUS,8.1,AQ Interactive,XSEED Games,,
Fire Emblem: Shadow Dragon,8.1,Intelligent Systems,Nintendo,Fire Emblem - Shadow Dragon (USA) (Wii U Virtual Console).nds,67108864
Final Fantasy XII: Revenant Wings,8.1,Think and Feel,Square Enix,Final Fantasy XII - Revenant Wings (USA).nds,134217728
Shin Megami Tensei: Strange Journey,8.0,Atlus,Atlus,Shin Megami Tensei - Strange Journey (USA).nds,134217728
Pokemon White Version 2,8.0,Game Freak,Nintendo,"Pokemon - White Version 2 (USA, Europe) (NDSi Enhanced).nds",536870912
Pokemon Conquest,8.0,Koei Tecmo Games,Nintendo,"Pokemon Conquest (USA, Australia) (Rev 1) (NDSi Enhanced).nds",268435456
Pokemon Black Version 2,8.0,Game Freak,Nintendo,"Pokemon - Black Version 2 (USA, Europe) (NDSi Enhanced).nds",536870912
Phineas and Ferb,8.0,Altron,Disney Interactive Studios,"Phineas and Ferb (USA) (En,Fr) (Rev 1).nds",67108864
Ninjatown,8.0,Venan Entertainment,SouthPeak Games,Ninjatown (USA).nds,33554432
Lufia: Curse of the Sinistrals,8.0,Neverland,Natsume,Lufia - Curse of the Sinistrals (USA).nds,67108864
Final Fantasy Tactics A2: Grimoire of the Rift,8.0,Square Enix,Square Enix,"Final Fantasy Tactics A2 - Grimoire of the Rift (USA) (En,Fr,Es).nds",134217728
Dragon Quest IV: Chapters of the Chosen,8.0,ArtePiazza,Square Enix,"Dragon Quest IV - Chapters of the Chosen (USA) (En,Fr,Es).nds",134217728
Art Style: BOXLIFE,8.0,Nintendo,Nintendo,Art Style - BOXLIFE (USA).nds,8880128
