title,score,developer,publisher
Battle Princess of Arcadias,6.9,ApolloSoft,NIS America
Akimi Village,6.9,NinjaBee,Sony Online Entertainment
Wonderbook: Walking With Dinosaurs,6.8,Supermassive Games,SCEA
Dynasty Warriors 8: Xtreme Legends,6.8,Omega Force,Tecmo Koei Games
Rag Doll Kung Fu: Fists of Plastic,6.8,Tarsier Studios,SCEA
Legasista,6.8,System Prisma,NIS America
Labyrinth Legends,6.8,Creat Studios,Creat Studios
DanceStar Party Hits,6.8,SCEE,SCEE
Blast Factor,6.8,Bluepoint Games,SCEA
Tom Clancy's Splinter Cell Classic Trilogy HD,6.7,Ubisoft,Ubisoft
Supersonic Acrobatic Rocket-Powered Battle-Cars,6.7,Psyonix,Psyonix
Strength of the Sword 3,6.7,Ivent Games,Ivent Games
SOCOM 4: U.S. Navy SEALs,6.7,Zipper Interactive,SCEA
Modern Combat: Domination,6.7,Gameloft,Gameloft
Malicious,6.7,Alvion,SCEA
Hyperballoid HD,6.7,iSquared Games,Alawar Entertainment
Beat Sketcher,6.7,SCE Japan Studio,SCEA
Sackboy's Prehistoric Moves,6.6,Media Molecule,SCEA
Planet Minigolf,6.6,Zen Studios,Zen Studios
PixelJunk Racers: 2nd Lap,6.6,Q-Games,SCEA
High Velocity Bowling,6.6,SCEA,SCEA
Everybody Dance,6.6,SCEE,SCEA
Carnival Island,6.6,Magic Pixel Games,SCEA
The Awakened Fate: Ultimatum,6.5,Nippon Ichi Software,NIS America
Tekken Hybrid,6.5,Namco Bandai Games,Namco Bandai Games
Tears to Tiara II: Heir of the Overlord,6.5,Aqua Plus,Atlus
Snakeball,6.5,Gamoola Soft,SCEA
SingStar Dance,6.5,SCEE London Studio,SCEA
EyePet & Friends,6.5,SCEE London Studio,SCEA
Eat Them!,6.5,FluffyLogic,SCEA
Atelier Rorona: The Alchemist of Arland,6.5,Gust,NIS America
Yakuza: Dead Souls,6.4,Ryu ga Gotoku Studios,Sega
White Knight Chronicles International Edition,6.4,Level 5,SCEA
Time Machine: Rogue Pilot,6.4,Lesta Studio,Lesta Studio
One Piece: Pirate Warriors,6.4,Omega Force,Namco Bandai Games
Namco Museum Essentials,6.4,Namco Bandai Games,Namco Bandai Games
Dynasty Warriors 7: Xtreme Legends,6.4,Omega Force,Koei Tecmo Games
Wakeboarding HD,6.3,Creat Studios,Creat Studios
SOCOM: U.S. Navy SEALs Confrontation,6.3,Slant Six,SCEA
Revenge of the Wounded Dragons,6.3,Wanako Studios,SCEA
PixelJunk 4am,6.3,Q-Games,SCEA
Dynasty Warriors 7 Empires,6.3,Omega Force,Tecmo Koei Games
Afrika (2008),6.3,Rhino Studios,Natsume
Trinity Universe,6.2,Idea Factory,NIS America
The Trials of Topoq,6.2,SCEE London Studio,SCEA
Saint Seiya: Sanctuary Battle,6.2,Dimps Corporation,Bandai Namco Games
PixelJunk Racers,6.2,Q-Games,SCEA
PlayStation Move Fitness,6.1,Coldwood Interactive,SCEA
Medieval Moves: Deadmund's Quest,6.1,Zindagi Games,SCEA
Hamsterball,6.1,Creat Studios,TikGames
Drakengard 3,6.1,Access Games,Square Enix
Chaos Code,6.1,FK Digital,Arc System Works
Ar tonelico Qoga: Knell of Ar Ciel,6.1,Gust,NIS America
White Knight Chronicles II,6.0,Level 5,D3Publisher
Time Crisis 4,6.0,Nex Entertainment,Bandai Namco Games
The Shoot,6.0,Cohort Studios,SCEA
Watchmen: The End Is Nigh Complete Experience,5.9,Deadline Games,Warner Bros. Interactive Entertainment
Okabu,5.9,HandCircus,SCEA
Nucleus (2007),5.9,Kuju Entertainment,SCEA
Linger in Shadows,5.9,Plastic Studios,SCEA
Killzone HD,5.9,Supermassive Games,SCEA
DUST 514,5.9,CCP,CCP
Anarchy: Rush Hour,5.9,Gaijin Entertainment,Gaijin Entertainment
Untold Legends: Dark Kingdom,5.8,Sony Online Entertainment,Sony Online Entertainment
Time Crisis: Razing Storm,5.8,Nex Entertainment,Namco Bandai Games
Bleach: Soul Resurreccion,5.8,Racjin,NIS America
Toy Home,5.7,Game Republic,SCEA
Landit Bandit,5.7,The Bearded Ladies Consulting,The Bearded Ladies Consulting
Datura,5.7,Plastic Studios,SCEA
TV Superstars,5.6,SCE Studio Cambridge,SCEA
Spelunker HD,5.6,Irem,Tozai Games
