title,score,developer,publisher,rom_name,size,running_total
World Tour Soccer,7.0,SCEE,SCEA,"World Tour Soccer (USA) (En,Fr,Es,It) (v1.01).iso",496.0 MiB,71.6 GiB
Naruto: Ultimate Ninja Heroes,7.0,CyberConnect2,Namco Bandai Games,Naruto - Ultimate Ninja Heroes (USA).iso,242.3 MiB,71.9 GiB
Kenka Bancho: Badass Rumble,7.0,Bullets,Atlus,Kenka Bancho - Badass Rumble (USA).iso,499.9 MiB,72.4 GiB
Generation of Chaos: Pandora's Reflection,7.0,Sting,NIS America,Generation of Chaos - Pandora's Reflection (USA) (PSN).iso,468.6 MiB,72.8 GiB
Dungeon Maker: Hunting Ground,7.0,Global A,XSEED Games,Dungeon Maker - Hunting Ground (USA) (v1.01).iso,143.5 MiB,73.0 GiB
Dragon Ball Z: Shin Budokai,7.0,Dimps Corporation,Atari SA,Dragon Ball Z - Shin Budokai (USA).iso,311.6 MiB,73.3 GiB
"What Did I Do to Deserve This, My Lord!?",6.9,Acquire,NIS America,"What Did I Do to Deserve This, My Lord! (USA) (PSP) (PSN).iso",179.7 MiB,73.4 GiB
R-Type Command,6.9,Irem,Atlus,R-Type Command (USA).iso,318.1 MiB,73.7 GiB
PQ: Practical Intelligence Quotient,6.9,Now Production,D3Publisher,PQ - Practical Intelligence Quotient (USA) (v1.01).iso,170.4 MiB,73.9 GiB
Phantasy Star Portable 2,6.9,Alfa System,Sega,Phantasy Star Portable 2 (USA).iso,1.2 GiB,75.2 GiB
NBA Ballers: Rebound,6.9,Backbone Entertainment,Midway,NBA Ballers Rebound (USA) (v1.05).iso,846.9 MiB,76.0 GiB
NBA 10 The Inside,6.9,SCEA San Diego Studios,SCEA,NBA 10 - The Inside (USA).iso,1.0 GiB,77.0 GiB
MotoGP (2006),6.9,Namco Bandai Games,Namco Bandai Games,"MotoGP (Europe) (En,Fr,De,It,Nl).iso",402.8 MiB,77.4 GiB
Invizimals,6.9,Novarama,SCEA,"Invizimals (USA) (En,Fr,Es) (v1.02).iso",1.5 GiB,78.9 GiB
Arctic Adventures: Polar's Puzzles,6.9,Eiconic Games,Eiconic Games,Arctic Adventures - Polar's Puzzles (USA) (minis) (PSN).iso,138.7 MiB,79.0 GiB
Zombie Tycoon,6.8,Frima Studio,Frima Studio,Zombie Tycoon (USA) (v3) (minis) (PSN).iso,190.0 MiB,79.2 GiB
Untold Legends: Brotherhood of the Blade,6.8,Sony Online Entertainment,Sony Online Entertainment,Untold Legends - Brotherhood of the Blade (USA) (v1.02).iso,815.4 MiB,80.0 GiB
The Legend of Heroes: A Tear of Vermillion,6.8,Microvision,Bandai,"Legend of Heroes, The - A Tear of Vermillion (USA) (v1.01).iso",638.9 MiB,80.6 GiB
Mytran Wars,6.8,Stormregion,Deep Silver,"Mytran Wars (USA) (En,Fr,De,Es,It) (v1.04).iso",1.1 GiB,81.8 GiB
Hexyz Force,6.8,Sting,Atlus,Hexyz Force (USA).iso,675.8 MiB,82.4 GiB
Gungnir,6.8,Sting,Atlus,Gungnir (USA).iso,250.6 MiB,82.7 GiB
Fighting Fantasy: The Warlock of Firetop Mountain (2011),6.8,Laughing Jackal,Laughing Jackal,Fighting Fantasy - The Warlock of Firetop Mountain (USA) (minis) (PSN).iso,151.8 MiB,82.8 GiB
Death Jr. II: Root of Evil,6.8,Backbone Entertainment,Konami,Death Jr. II - Root of Evil (USA) (v1.01).iso,697.8 MiB,83.5 GiB
Buzz! Master Quiz,6.8,Relentless Software,SCEA,Buzz! Master Quiz (USA).iso,864.4 MiB,84.4 GiB
WRC: FIA World Rally Championship (2006),6.7,Traveller's Tales,Namco Bandai Games,WRC - FIA World Rally Championship (USA) (v1.01).iso,1.2 GiB,85.6 GiB
Spider-Man 2 (2005),6.7,Vicarious Visions,Activision,Spider-Man 2 (USA) (v1.01).iso,556.5 MiB,86.1 GiB
Pilot Academy,6.7,Kuju Entertainment,Marvelous Entertainment,"Pilot Academy (Europe) (En,Ja,Fr,De,Es,It) (v1.01).iso",313.1 MiB,86.4 GiB
MVP Baseball,6.7,EA Canada,Electronic Arts,MVP Baseball (USA) (v1.02).iso,1.3 GiB,87.8 GiB
Bust-A-Move Deluxe,6.7,Taito Corporation,Majesco,Bust-A-Move - Deluxe (USA).iso,67.0 MiB,87.8 GiB
Tales of the World: Radiant Mythology,6.6,Alfa System,Namco Bandai Games,Tales of the World - Radiant Mythology (USA).iso,419.3 MiB,88.2 GiB
PoPoLoCrois,6.6,G-Artists,Agetec,PoPoLoCrois (USA).iso,1.2 GiB,89.4 GiB
One Epic Game,6.6,Grip Games,Grip Games,One Epic Game (USA) (minis) (PSN).iso,145.2 MiB,89.6 GiB
Neopets Petpet Adventures: The Wand of Wishing,6.6,SCEA,SCEA,Neopets - Petpet Adventures - The Wand of Wishing (USA).iso,823.3 MiB,90.4 GiB
Monster Kingdom: Jewel Summoner,6.6,Gaia (Sony),Atlus,Monster Kingdom - Jewel Summoner (USA).iso,507.1 MiB,90.9 GiB
Black Rock Shooter: The Game,6.6,Imageepoch,NIS America,Black Rock Shooter - The Game (USA) (PSN).iso,1.3 GiB,92.1 GiB
