title,score,developer,publisher,rom_name,size
Harvest Moon: More Friends of Mineral Town,8.2,TOSE,Natsume,Harvest Moon - More Friends of Mineral Town (USA).gba,16777216
GT Advance Championship Racing,8.2,MTO,THQ,"GT Advance - Championship Racing (USA, Europe).gba",8388608
Final Fight One,8.2,Sun-Tec,Capcom,Final Fight One (USA).gba,4194304
Bruce Lee: Return of the Legend,8.2,Vicarious Visions,Universal Interactive,Bruce Lee - Return of the Legend (USA).gba,8388608
Yu-Gi-Oh! The Eternal Duelist Soul,8.1,KCEJ,Konami,Yu-Gi-Oh! - The Eternal Duelist Soul (USA).gba,8388608
Pokemon Pinball: Ruby & Sapphire,8.1,Jupiter Corporation,Nintendo,Pokemon Pinball - Ruby & Sapphire (USA).gba,8388608
Pokemon LeafGreen Version,8.1,Game Freak,Nintendo,"Pokemon - LeafGreen Version (USA, Europe) (Rev 1).gba",16777216
Pokemon FireRed Version,8.1,Game Freak,Nintendo,Pokemon - FireRed Version (USA)),16777216
Mega Man Zero 2,8.1,Inti Creates,Capcom,Megaman Zero 4 (USA).gba,16777216
Mega Man Battle Network 2,8.1,Capcom,Capcom,Megaman - Battle Network 2 (USA) (Debug Version).gba,8388608
Mario vs. Donkey Kong (2004),8.1,Nintendo Software Technology,Nintendo,Mario vs. Donkey Kong (Japan).gba,16777216
Mario Tennis: Power Tour,8.1,Camelot Software Planning,Nintendo,"Mario Tennis - Power Tour (USA) (En,Fr,De,Es,It) (Virtual Console).gba",16777216
Kirby: Nightmare in Dream Land,8.1,HAL Labs,Nintendo,Kirby - Nightmare in Dream Land (USA) (Virtual Console).gba,8388608
Karnaaj Rally,8.1,Paragon 5,Jaleco Entertainment,"Karnaaj Rally (USA, Europe).gba",8388608
Harvest Moon: Friends of Mineral Town,8.1,TOSE,Natsume,Harvest Moon - More Friends of Mineral Town (USA).gba,16777216
Duke Nukem Advance,8.1,Torus Games,Take-Two Interactive,"Duke Nukem Advance (Europe) (En,Fr,De,It).gba",8388608
Drill Dozer,8.1,Game Freak,Nintendo,Drill Dozer (USA).gba,8388608
Breath of Fire II,8.1,Capcom,Capcom,Breath of Fire II (Europe).gba,4292756
The Legend of Spyro: The Eternal Night (2007),8.0,Amaze Entertainment,Sierra Entertainment,"Legend of Spyro, The - The Eternal Night (Europe) (En,Fr,De,Es,It,Nl).gba",33554432
The King of Fighters EX2: Howling Blood,8.0,Marvelous Entertainment,Atlus,"King of Fighters EX 2, The - Howling Blood (USA).gba",8388608
The King of Fighters EX: Neo Blood,8.0,Artoon,Sammy Studios,"King of Fighters EX, The - NeoBlood (Japan).gba",8388608
Medal of Honor: Infiltrator,8.0,Netherock Ltd.,EA Games,"Medal of Honor - Infiltrator (USA, Europe) (En,Fr,De).gba",16777216
Kirby & the Amazing Mirror,8.0,Flagship,Nintendo,Kirby & The Amazing Mirror (USA).gba,16777216
Fire Pro Wrestling (2001),8.0,Vaill,Bam Entertainment,Fire Pro Wrestling 2 (USA).gba,8388608
Donkey Kong Country 2: Diddy's Kong Quest,8.0,Rare Ltd.,Nintendo,Donkey Kong Country 3 (USA).gba,16777216
Disney's Lilo & Stitch (2002),8.0,Digital Eclipse,Disney Interactive,"Lilo & Stitch 2 (Europe) (En,Fr,De,Es).gba",8388608
Baseball Advance,8.0,Smilebit,THQ,Baseball Advance (USA).gba,8388608
The Pinball of the Dead,7.9,Sega,THQ,"Pinball of the Dead, The (Japan).gba",8388608
Tak and the Power of Juju (2003),7.9,Helixe,THQ,Tak and the Power of Juju (USA).gba,8388608
Super Dodge Ball Advance,7.9,Million,Atlus,Super Dodge Ball Advance (USA) (Rev 1).gba,4194304
Summon Night: Swordcraft Story 2,7.9,Flight-Plan,Atlus,Summon Night - Swordcraft Story (USA).gba,8388608
Sonic Advance 3,7.9,Dimps Corporation,THQ,Sonic Advance 2 (USA) (Beta) (2002-10-25).gba,16777216
Pac-Man Collection,7.9,Mass Media,Namco,Pac-Man Collection (Japan) (En).gba,4194304
Monster Rancher Advance 2,7.9,Tecmo,Tecmo,Monster Rancher Advance 2 (USA).gba,8388608
Metal Slug Advance,7.9,Noise Factory,SNK Playmore,Metal Slug Advance (Europe).gba,8388608
Mega Man Battle Network,7.9,Capcom,Capcom,Megaman - Battle Network 2 (USA) (Debug Version).gba,8388608
Mega Man & Bass,7.9,Capcom,Capcom,Megaman & Bass (USA).gba,8388608
Lunar Legend,7.9,Game Arts,Ubisoft,Lunar Legend (USA).gba,8388608
Breath of Fire,7.9,Capcom,Capcom,Breath of Fire (Europe).gba,4194304
Boulder Dash EX,7.9,Vision Works,Kemco,Boulder Dash EX (Japan).gba,4194304
Wade Hixton's Counter Punch,7.8,Inferno Games,Destination Software,"Wade Hixton's Counter Punch (USA, Europe).gba",8388608
Top Gear Rally,7.8,Tantalus,Nintendo,Top Gear Rally (USA).gba,4194304
Rebelstar: Tactical Command,7.8,Codo Games,Namco,Rebelstar - Tactical Command (USA).gba,4194304
Max Payne (2003),7.8,Mobius Entertainment,Rockstar Games,Max Payne (USA).gba,16777216
Konami Krazy Racers,7.8,KCEK,Konami,Konami Krazy Racers (USA) (Beta).gba,4194304
Konami Collector's Series: Arcade Advanced,7.8,KCEA,Konami,Konami Collector's Series - Arcade Advanced (USA).gba,4194304
Klonoa 2: Dream Champ Tournament,7.8,Now Production,Namco,Klonoa 2 - Dream Champ Tournament (USA).gba,4194304
Gradius Galaxies,7.8,Mobile 21,Konami,Gradius Galaxies (USA).gba,4194304
Donkey Kong Country,7.8,Rare Ltd.,Nintendo,Donkey Kong Country 3 (USA).gba,16777216
Dave Mirra Freestyle BMX 3,7.8,Full Fat,Acclaim,"Dave Mirra Freestyle BMX 3 (USA, Europe).gba",8388608
Crash Bandicoot: The Huge Adventure,7.8,Vicarious Visions,Universal Interactive,Crash Bandicoot - The Huge Adventure (USA).gba,8388608
Boktai 2: Solar Boy Django,7.8,KCEJ,Konami,Boktai 2 - Solar Boy Django (USA).gba,16777216
Summon Night: Swordcraft Story,7.7,Flight-Plan,Atlus,Summon Night - Swordcraft Story (USA).gba,8388608
Sonic Pinball Party,7.7,Sonic Team,Sega,"Sonic Pinball Party (Japan) (En,Ja,Fr,De,Es,It).gba",8388608
Shining Force: Resurrection of the Dark Dragon,7.7,Amusement Vision,Atlus,Shining Force - Resurrection of the Dark Dragon (USA).gba,8388608
Mega Man Zero 4,7.7,Inti Creates,Capcom,Megaman Zero 4 (USA).gba,16777216
Mega Man Zero 3,7.7,Inti Creates,Capcom,Megaman Zero 4 (USA).gba,16777216
Mega Man Battle Network 3: White Version,7.7,Capcom,Capcom,Megaman - Battle Network 3 - White Version (USA) (Virtual Console).gba,8388608
Mech Platoon,7.7,Will,Kemco,Mech Platoon (USA).gba,8388608
Hamtaro: Ham-Ham Games,7.7,Alphadream Corporation,Nintendo,"Hamtaro - Ham-Ham Games (Europe) (En,Fr,De,Es,It).gba",16777216
GT Advance 2: Rally Racing,7.7,MTO,THQ,GT Advance 2 - Rally Racing (USA).gba,8388608
F-Zero: GP Legend,7.7,Suzak,Nintendo,F-Zero - GP Legend (USA) (Virtual Console).gba,16777216
Donkey Kong Country 3: Dixie Kong's Double Trouble!,7.7,Rare Ltd.,Nintendo,,
Disney's Kim Possible 2: Drakken's Demise,7.7,Artificial Mind and Movement,Disney Interactive,"Kim Possible 2 - Drakken's Demise (Europe) (En,Fr,De,Es).gba",8388608
Car Battler Joe,7.7,Ancient,Natsume,Car Battler Joe (USA).gba,8388608
Tom Clancy's Rainbow Six: Rogue Spear (2002),7.6,Ubisoft Milan,Ubisoft,"Tom Clancy's Rainbow Six - Rogue Spear (USA, Europe) (En,Fr,De,Es,It) (Beta) (2001-10-25).gba",7963152
Spyro 2: Season of Flame,7.6,Digital Eclipse,Universal Interactive,Spyro 2 - Season of Flame (USA).gba,8388608
Shonen Jump's One Piece,7.6,Dimps Corporation,Bandai,,
Pokemon Emerald Version,7.6,Game Freak,Nintendo,"Pokemon - Emerald Version (USA, Europe).gba",33554432
Phantasy Star Collection,7.6,Digital Eclipse,THQ,Phantasy Star Collection (Europe).gba,8388608
Monster Rancher Advance,7.6,Tecmo,Tecmo,"Moto Racer Advance (USA) (En,Fr,De,Es,It).gba",4194304
Lufia: The Ruins of Lore,7.6,Taito Corporation,Atlus,Lufia - The Ruins of Lore (USA).gba,8388608
Kingdom Hearts: Chain of Memories,7.6,Jupiter Corporation,Square Enix,Kingdom Hearts - Chain of Memories (USA).gba,33554432
Disney's Kim Possible 3: Team Possible,7.6,Artificial Mind and Movement,Buena Vista Interactive,"Kim Possible 3 - Team Possible (USA) (En,Fr).gba",8388608
Boxing Fever,7.6,Digital Fiction,Majesco,"Boxing Fever (USA, Europe).gba",8388608
Uno / Skip-Bo,7.5,Black Lantern Studios,Destination Software,,
Sabre Wulf,7.5,Rare Ltd.,THQ,"Sabre Wulf (Europe) (En,Fr,De).gba",8388608
Muppet Pinball Mayhem,7.5,Digital Eclipse,NewKidCo,Muppet Pinball Mayhem (USA).gba,4194304
Mortal Kombat: Tournament Edition,7.5,Criterion Games,Midway,"Mortal Kombat - Tournament Edition (USA) (En,Fr,De,Es,It).gba",16777216
Monster Truck Madness,7.5,Tantalus,THQ,Monster Trucks Mayhem (USA).gba,4194304
Mary-Kate and Ashley: Girls Night Out,7.5,Powerhead Games,Acclaim,"Mary-Kate and Ashley - Girls Night Out (USA, Europe).gba",4194304
Jackie Chan Adventures,7.5,Torus Games,Activision,Shamu's Deep Sea Adventures (USA).gba,33554432
Frogger's Adventures 2: The Lost Wand,7.5,Konami,Konami,"Frogger's Adventures 2 - The Lost Wand (USA) (En,Es).gba",8388608
Dragon Ball Z: The Legacy of Goku II,7.5,Webfoot Technologies,Atari SA,Dragon Ball Z - The Legacy of Goku II (USA).gba,8388608
Dragon Ball: Advanced Adventure,7.5,Dimps Corporation,Atari SA,Dragon Ball - Advanced Adventure (USA).gba,16777216
Crash Bandicoot 2: N-Tranced,7.5,Vicarious Visions,Universal Interactive,Crash Bandicoot 2 - N-Tranced (USA).gba,8388608
Bomberman Max 2: Red Advance,7.5,Hudson,Majesco,Bomberman Max 2 - Red Advance (USA).gba,8388608
